ParkName,ParkCode,PeriodID,Season,Period_StartDate,Period_EndDate,EventID,Event_StartDate,Event_EndDate
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2010Jan11,1/11/2010 0:00:00,1/11/2010 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2010Jan21,1/21/2010 0:00:00,1/21/2010 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2010Jan15,1/15/2010 0:00:00,1/15/2010 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2010Jan14,1/14/2010 0:00:00,1/14/2010 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2010Jan12,1/12/2010 0:00:00,1/12/2010 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2009Dec16,12/16/2009 0:00:00,12/16/2009 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2009Dec15,12/15/2009 0:00:00,12/15/2009 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2009Dec14,12/14/2009 0:00:00,12/14/2009 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2009Dec08,12/8/2009 0:00:00,12/8/2009 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2009Dec07,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,BUFFRMINVE2009Dec07,12/7/2009 0:00:00,12/7/2009 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2010Nov29,2010,11/29/2010 0:00:00,12/1/2010 0:00:00,BUFFRMINVE2010Nov29,11/29/2010 0:00:00,11/29/2010 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2010Nov29,2010,11/29/2010 0:00:00,12/1/2010 0:00:00,BUFFRMINVE2010Nov30,11/30/2010 0:00:00,11/30/2010 0:00:00
