TaxonCode,TSN,ToleranceValue,Phylum,Class,Order,Family,Subfamily,Genus,FunctionalFeedingGroupCode,Description
CORYCH,115024,4.00,Arthropoda,Insecta,Megaloptera,Corydalidae,,Chauliodes,Pr,Predators
CORYCO,115033,5.60,Arthropoda,Insecta,Megaloptera,Corydalidae,,Corydalus,Pr,Predators
CORYNI,115028,5.80,Arthropoda,Insecta,Megaloptera,Corydalidae,,Nigronia,Pr,Predators
CRAM,693963,5.00,Arthropoda,Insecta,Lepidoptera,Crambidae,,,He,Herbivores
CRAM,693963,5.00,Arthropoda,Insecta,Lepidoptera,Crambidae,,,Sh,Shredders
CRAMPA,117714,5.00,Arthropoda,Insecta,Lepidoptera,Crambidae,,Parapoynx,He,Herbivores
CRAMPA,117714,5.00,Arthropoda,Insecta,Lepidoptera,Crambidae,,Parapoynx,Sh,Shredders
CRAMPE,117682,2.70,Arthropoda,Insecta,Lepidoptera,Crambidae,,Petrophila,He,Herbivores
CRAMPE,117682,2.70,Arthropoda,Insecta,Lepidoptera,Crambidae,,Petrophila,Sh,Shredders
CRANBS,-999,,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,(Stygobromus/Bactrurus),C,Collectors
CRANCR,95081,8.00,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,Crangonyx,C,Collectors
CRANST,93861,,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,Stygobromus,C,Collectors
CULICU,126455,10.00,Arthropoda,Insecta,Diptera,Culicidae,,Culex,F,Filterers
CYRECO,81385,6.30,Mollusca,Bivalvia,Venerida,Cyrenidae,,Corbicula,F,Filterers
DIXIDE,125854,2.00,Arthropoda,Insecta,Diptera,Dixidae,,Dixella,C,Collectors
DIXIDI,125810,2.80,Arthropoda,Insecta,Diptera,Dixidae,,Dixa,Pr,Predators
DIXIDI,125810,2.80,Arthropoda,Insecta,Diptera,Dixidae,,Dixa,C,Collectors
DOLI,136824,4.00,Arthropoda,Insecta,Diptera,Dolichopodidae,,,Pr,Predators
DRYOHE,114006,5.40,Arthropoda,Insecta,Coleoptera,Dryopidae,,Helichus,C,Collectors
DRYOHE,114006,5.40,Arthropoda,Insecta,Coleoptera,Dryopidae,,Helichus,Sh,Shredders
DUGEGI,1037592,5.50,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,,Girardia,C,Collectors
DUGEGI,1037592,5.50,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,,Girardia,Pr,Predators
DYTIA,728216,,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,"Agabini",Pr,Predators
DYTIAG,111966,5.00,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Agabus,Pr,Predators
DYTIHG,112200,,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Hygrotus,Pr,Predators
DYTIIO,728239,,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Ilybiosoma,Pr,Predators
ELMI,114093,4.00,Arthropoda,Insecta,Coleoptera,Elmidae,,,C,Collectors
ELMI,114093,4.00,Arthropoda,Insecta,Coleoptera,Elmidae,,,Sh,Shredders
ELMI,114093,4.00,Arthropoda,Insecta,Coleoptera,Elmidae,,,Sc,Scrapers
ELMIAN,114193,6.40,Arthropoda,Insecta,Coleoptera,Elmidae,,Ancyronyx,C,Collectors
ELMIAN,114193,6.40,Arthropoda,Insecta,Coleoptera,Elmidae,,Ancyronyx,Sc,Scrapers
ELMIDU,114126,6.40,Arthropoda,Insecta,Coleoptera,Elmidae,,Dubiraphia,C,Collectors
ELMIMA,114212,4.70,Arthropoda,Insecta,Coleoptera,Elmidae,,Macronychus,C,Collectors
ELMIMI,114146,2.10,Arthropoda,Insecta,Coleoptera,Elmidae,,Microcylloepus,C,Collectors
ELMIOP,114177,2.70,Arthropoda,Insecta,Coleoptera,Elmidae,,Optioservus,C,Collectors
ELMIOP,114177,2.70,Arthropoda,Insecta,Coleoptera,Elmidae,,Optioservus,Sh,Shredders
ELMIST,114095,5.40,Arthropoda,Insecta,Coleoptera,Elmidae,,Stenelmis,C,Collectors
ELMIST,114095,5.40,Arthropoda,Insecta,Coleoptera,Elmidae,,Stenelmis,Sc,Scrapers
EMMEFO,70605,,Mollusca,Gastropoda,Littorinimorpha,Emmericiidae,,Fontigens,Sc,Scrapers
EMPICH,136305,6.00,Arthropoda,Insecta,Diptera,Empididae,,Chelifera (Metachela),Pr,Predators
EMPICL,135849,6.00,Arthropoda,Insecta,Diptera,Empididae,,Clinocera,Pr,Predators
EMPIHE,136327,6.00,Arthropoda,Insecta,Diptera,Empididae,,Hemerodromia,C,Collectors
EMPIHE,136327,6.00,Arthropoda,Insecta,Diptera,Empididae,,Hemerodromia,Pr,Predators
EMPIOR,136377,,Arthropoda,Insecta,Diptera,Empididae,,Oreogeton,Pr,Predators
EMPITR,135903,6.00,Arthropoda,Insecta,Diptera,Empididae,,Trichoclinocera,Pr,Predators
ENTO,99643,,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,C,Collectors
EPHE,101232,1.00,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,C,Collectors
EPHE,101232,1.00,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,Sc,Scrapers
EPHEAT,101338,2.60,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Attenella,C,Collectors
EPHEEH,101526,1.10,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Ephemera,C,Collectors
EPHEEH,101526,1.10,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Ephemera,Pr,Predators
EPHEEP,101233,2.90,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Ephemerella,C,Collectors
EPHEEP,101233,2.90,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Ephemerella,Sc,Scrapers
EPHEEU,101324,2.10,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Eurylophella,C,Collectors
EPHEHE,101537,4.70,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Hexagenia,C,Collectors
EPHESE,101395,2.10,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Serratella,C,Collectors
EPHETE,776926,2.70,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Teloganopsis,C,Collectors
EPHY,146893,6.00,Arthropoda,Insecta,Diptera,Ephydridae,,,Sh,Shredders
EPHY,146893,6.00,Arthropoda,Insecta,Diptera,Ephydridae,,,C,Collectors
ERPO,69438,7.80,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,,,Pa,Parasites
GAMMGA,93773,6.00,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,Gammarus,C,Collectors
GERR,103801,5.00,Arthropoda,Insecta,Hemiptera,Gerridae,,,Pr,Predators
GERRAQ,717547,6.40,Arthropoda,Insecta,Hemiptera,Gerridae,,Aquarius,Pr,Predators
GERRGE,103829,5.00,Arthropoda,Insecta,Hemiptera,Gerridae,,Gerris,Pr,Predators
GERRRH,103802,,Arthropoda,Insecta,Hemiptera,Gerridae,,Rheumatobates,Pr,Predators
GLOSAG,117121,0.00,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Agapetus,Sc,Scrapers
GLOSAG,117121,0.00,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Agapetus,C,Collectors
GLOSGL,117159,1.50,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Glossosoma,Sc,Scrapers
GLOSGL,117159,1.50,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Glossosoma,C,Collectors
GLOSPR,115221,2.80,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Protoptila,Sc,Scrapers
GLSS,69380,7.00,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,,,Pr,Predators
GOMP,101664,5.30,Arthropoda,Insecta,Odonata,Gomphidae,,,Pr,Predators
GOMPDR,101730,6.30,Arthropoda,Insecta,Odonata,Gomphidae,,Dromogomphus,Pr,Predators
GOMPGM,101777,6.20,Arthropoda,Insecta,Odonata,Gomphidae,,Gomphurus,Pr,Predators
GOMPHA,101734,4.00,Arthropoda,Insecta,Odonata,Gomphidae,,Hagenius,Pr,Predators
GOMPOP,101738,6.20,Arthropoda,Insecta,Odonata,Gomphidae,,Ophiogomphus,Pr,Predators
GOMPPH,-999,,Arthropoda,Insecta,Odonata,Gomphidae,,Phanogomphus,Pr,Predators
GOMPST,101761,4.80,Arthropoda,Insecta,Odonata,Gomphidae,,Stylogomphus,Pr,Predators
GYRIDI,112711,5.50,Arthropoda,Insecta,Coleoptera,Gyrinidae,,Dineutus,Pr,Predators
HALIPE,111923,8.50,Arthropoda,Insecta,Coleoptera,Haliplidae,,Peltodytes,He,Herbivores
HALIPE,111923,8.50,Arthropoda,Insecta,Coleoptera,Haliplidae,,Peltodytes,C,Collectors
HEBRHE,103965,,Arthropoda,Insecta,Hemiptera,Hebridae,,Hebrus,Pr,Predators
HEBRLI,103986,,Arthropoda,Insecta,Hemiptera,Hebridae,,Lipogomphus,Pr,Predators
HEBRME,103983,,Arthropoda,Insecta,Hemiptera,Hebridae,,Merragata,Pr,Predators
HELIHE,117016,0.00,Arthropoda,Insecta,Trichoptera,Helicopsychidae,,Helicopsyche,Sc,Scrapers
HEMI,103359,,Arthropoda,Insecta,Hemiptera,,,,Pr,Predators
HEPT,100504,4.00,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,F,Filterers
HEPTEP,100626,1.30,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Epeorus,C,Collectors
HEPTHE,100602,2.40,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,Sc,Scrapers
HEPTHE,100602,2.40,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,C,Collectors
HEPTLE,100676,1.20,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,C,Collectors
HEPTLE,100676,1.20,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,Sc,Scrapers
HEPTMC,100744,5.00,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,C,Collectors
HEPTMC,100744,5.00,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,Sc,Scrapers
HEPTRH,100572,0.00,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Rhithrogena,C,Collectors
HEPTSE,100507,2.30,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,Sc,Scrapers
HEPTSE,100507,2.30,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,C,Collectors
HEPTST,100713,7.10,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenacron,C,Collectors
HIR,69290,10.00,Annelida,Clitellata,"Hirudinida",,,,C,Collectors
HYALHY,94025,6.80,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,,Hyalella,C,Collectors
HYDD,50844,,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,,,Pr,Predators
HYDDHY,50845,5.00,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,,Hydra,Pr,Predators
HYDNHY,112757,6.00,Arthropoda,Insecta,Coleoptera,Hydraenidae,,Hydraena,Sc,Scrapers
HYDNHY,112757,6.00,Arthropoda,Insecta,Coleoptera,Hydraenidae,,Hydraena,C,Collectors
HYDPBE,112812,8.60,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Berosus,He,Herbivores
HYDPBE,112812,8.60,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Berosus,C,Collectors
HYDPEN,112973,8.50,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Enochrus,C,Collectors
HYDPHL,-999,,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius/Limnohydrobius,C,Collectors
HYDPHL,-999,,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius/Limnohydrobius,Pr,Predators
HYDPHY,113196,5.00,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius,C,Collectors
HYDPHY,113196,5.00,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius,Pr,Predators
HYDPTR,112938,9.80,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Tropisternus,C,Collectors
HYDPTR,112938,9.80,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Tropisternus,Pr,Predators
HYDR,70493,7.00,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,,Sc,Scrapers
HYDRPR,70505,,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,Probythinella,Sc,Scrapers
HYDSCH,115408,6.60,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Cheumatopsyche,F,Filterers
HYDSDI,115399,2.20,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Diplectrona,F,Filterers
HYDSHY,115453,8.10,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Hydropsyche,F,Filterers
HYDSPO,115551,2.50,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Potamyia,F,Filterers
HYDTDI,115826,2.00,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Dibusa,Sc,Scrapers
HYDTHY,115641,6.20,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Hydroptila,He,Herbivores
HYDTHY,115641,6.20,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Hydroptila,Sc,Scrapers
HYDTIT,115823,4.00,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ithytrichia,Sc,Scrapers
HYDTNE,115833,3.60,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Neotrichia,Sc,Scrapers
HYDTOC,115714,7.20,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ochrotrichia,C,Collectors
HYDTOC,115714,7.20,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ochrotrichia,He,Herbivores
HYDTOX,115779,5.20,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Oxyethira,He,Herbivores
HYDTOX,115779,5.20,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Oxyethira,C,Collectors
HYDTST,115817,2.75,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Stactobiella,Sh,Shredders
ISONIS,101041,3.80,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,,Isonychia,F,Filterers
LEPCCE,116684,6.40,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Ceraclea,Sh,Shredders
LEPCCE,116684,6.40,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Ceraclea,C,Collectors
LEPCMY,116598,3.50,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Mystacides,C,Collectors
LEPCNE,116651,4.20,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Nectopsyche,C,Collectors
LEPCNE,116651,4.20,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Nectopsyche,Sh,Shredders
LEPCOE,116607,5.70,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Oecetis,Pr,Predators
LEPCOE,116607,5.70,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Oecetis,He,Herbivores
LEPCSE,116548,0.90,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Setodes,Pr,Predators
LEPCSE,116548,0.90,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Setodes,C,Collectors
LEPCTR,116565,4.30,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Triaenodes,Sh,Shredders
LEPILE,116794,1.00,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,,Lepidostoma,Sh,Shredders
LEPTHA,101122,0.00,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Habrophlebiodes,C,Collectors
LEPTHA,101122,0.00,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Habrophlebiodes,Sc,Scrapers
LEPTLE,101148,6.40,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Leptophlebia,C,Collectors
LEPTPA,101187,1.20,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,Sh,Shredders
LEPTPA,101187,1.20,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,C,Collectors
LEPTTR,101405,5.40,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,,Tricorythodes,C,Collectors
LESTLE,102061,6.00,Arthropoda,Insecta,Odonata,Lestidae,,Lestes,Pr,Predators
LEUC,102840,0.00,Arthropoda,Insecta,Plecoptera,Leuctridae,,,Sh,Shredders
LEUCLE,102844,0.70,Arthropoda,Insecta,Plecoptera,Leuctridae,,Leuctra,Sh,Shredders
LEUCZE,102900,0.00,Arthropoda,Insecta,Plecoptera,Leuctridae,,Zealeuctra,Sh,Shredders
LIBE,101797,9.00,Arthropoda,Insecta,Odonata,Libellulidae,,,Pr,Predators
LIBELI,101893,9.80,Arthropoda,Insecta,Odonata,Libellulidae,,Libellula,Pr,Predators
LIMNIR,116382,7.30,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Ironoquia,C,Collectors
LIMNIR,116382,7.30,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Ironoquia,Sh,Shredders
LIMNPY,116409,2.50,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Pycnopsyche,C,Collectors
LIMNPY,116409,2.50,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Pycnopsyche,Sh,Shredders
LIMO,-999,,Arthropoda,Insecta,Diptera,Limoniidae,,,Sh,Shredders
LIMOAN,119656,4.60,Arthropoda,Insecta,Diptera,Limoniidae,,Antocha,C,Collectors
LIMOCR,120488,,Arthropoda,Insecta,Diptera,Limoniidae,,Cryptolabis,Sh,Shredders
LIMOCR,120488,,Arthropoda,Insecta,Diptera,Limoniidae,,Cryptolabis,C,Collectors
