RiffleCoverClassID,RiffleCoverClassDesc,RiffleCoverClassMidpointCC
-999.00,no data,-999.00
0.00,Absent (0%),0.00
1.00,Sparse (<10%),5.00
2.00,Moderate (10-40%),25.00
3.00,Heavy (40-75%),57.50
4.00,Very Heavy (>75%),87.50
