ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID
Ozark National Scenic Riverways,OZAR,OZARRMINVECM03,03,Mainstem,,Current River,,Shannon,46,CURRM03
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04
Ozark National Scenic Riverways,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05
Ozark National Scenic Riverways,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06
Ozark National Scenic Riverways,OZAR,OZARRMINVECT01,01,Tributary,,Current River,Shafer Spring,Dent,819,CURRT01
Ozark National Scenic Riverways,OZAR,OZARRMINVECT02,02,Tributary,,Current River,Sutton Creek,Shannon,850,CURRT02
Ozark National Scenic Riverways,OZAR,OZARRMINVECT03,03,Tributary,,Current River,Thompson Creek,Shannon,576,CURRT03
Ozark National Scenic Riverways,OZAR,OZARRMINVECT04,04,Tributary,,Current River,Prairie Hollow,Shannon,920,CURRT04
Ozark National Scenic Riverways,OZAR,OZARRMINVECT05,05,Tributary,Alternate; Not sampled,Current River,Thorny Hollow,Shannon,473,CURRT05
Ozark National Scenic Riverways,OZAR,OZARRMINVECT06,06,Tributary,,Current River,Blair Creek,Shannon,917,CURRT06
Ozark National Scenic Riverways,OZAR,OZARRMINVECT07,07,Tributary,,Current River,Powdermill Creek,Shannon,494,CURRT07
Ozark National Scenic Riverways,OZAR,OZARRMINVECT08,08,Tributary,,Current River,Rocky Creek,Shannon,657,CURRT08
Ozark National Scenic Riverways,OZAR,OZARRMINVECT09,09,Tributary,,Current River,Carr Creek,Shannon,695,CURRT09
Ozark National Scenic Riverways,OZAR,OZARRMINVECT10,10,Tributary,Dry; Not sampled,Current River,Thorny Creek,Shannon,711,CURRT10
Ozark National Scenic Riverways,OZAR,OZARRMINVECT11,11,Tributary,Dry; Not sampled,Current River,Chilton Creek,Carter,930,CURRT11
Ozark National Scenic Riverways,OZAR,OZARRMINVECT12,12,Tributary,,Current River,Rogers Creek,Carter,950,CURRT12
Ozark National Scenic Riverways,OZAR,OZARRMINVECT13,13,Tributary,,Current River,Mill Creek,Carter,685,CURRT13
Ozark National Scenic Riverways,OZAR,OZARRMINVECT14,14,Tributary,,Current River,Sinking Creek,Shannon,463,CURRT14
Ozark National Scenic Riverways,OZAR,OZARRMINVECT15,15,Tributary,,Current River,Big West Creek,Shannon,734,CURRT15
Ozark National Scenic Riverways,OZAR,OZARRMINVECT16,16,Tributary,,Current River,Big East Creek,Shannon,856,CURRT16
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM01,01,Mainstem,,Jacks Fork,,Shannon,104,JACKM01
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM02,02,Mainstem,,Jacks Fork,,Shannon,114,JACKM02
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM03,03,Mainstem,,Jacks Fork,,Shannon,123,JACKM 03
Ozark National Scenic Riverways,OZAR,OZARRMINVEJT01,01,Tributary,,Jacks Fork,Flat Rock Hollow,Shannon,907,JACKT01
Ozark National Scenic Riverways,OZAR,OZARRMINVEJT02,02,Tributary,,Jacks Fork,Water Branch,Shannon,542,JACKT02
Ozark National Scenic Riverways,OZAR,OZARRMINVEJT03,03,Tributary,,Jacks Fork,Shawnee Creek,Shannon,699,JACKT03
Ozark National Scenic Riverways,OZRS,OZRSSPRNGSSITE01,01,Spring,,Alley Spring,,Shannon,,OZARSPRALL
Ozark National Scenic Riverways,OZRS,OZRSSPRNGSSITE02,02,Spring,,Big Spring,,Carter,,OZARSPRBIG
Ozark National Scenic Riverways,OZRS,OZRSSPRNGSSITE03,03,Spring,,Blue Spring,,Shannon,,OZARSPRBLU
Ozark National Scenic Riverways,OZRS,OZRSSPRNGSSITE04,04,Spring,,Pulltite Spring,,Shannon,,OZARSPRPUL
Ozark National Scenic Riverways,OZRS,OZRSSPRNGSSITE05,05,Spring,,Round Spring,,Shannon,,OZARSPRROU
Ozark National Scenic Riverways,OZRS,OZRSSPRNGSSITE06,06,Spring,,Welch Spring,,Shannon,,OZARSPRWEL
Ozark National Scenic Riverways,OZRS,OZRSSPRNGSSITE07,07,Spring,,Phillips Spring,,Carter,,OZARSPRPHI
Pea Ridge National Military Park,PERI,PERIAqubug01,01,Tributary,Riffles located above bridge crossing on park loop road,Pratt Creek,,Benton,,PERILOW01
Pea Ridge National Military Park,PERI,PERIAqubug02,02,Tributary,No true riffles.  Samples collected in successive order. and equally spaced between park loop road and spring source.,Winton Spring Branch,,Benton,,PERILOW02
Pea Ridge National Military Park,PERI,PERIAqubug03,03,Tributary,,Lee Creek,,Benton,,PERILOW03
Pipestone National Monument,PIPE,PIPEAquBug01,01,Tributary,PPS1,Upper Pipestone Creek,,Pipestone,,PIPEUPP01
Pipestone National Monument,PIPE,PIPEAquBug02,02,Tributary,PPS2,Middle Pipestone Creek,,Pipestone,,PIPEMID01
Tallgrass Prairie National Preserve,TAPR,TAPRAqubug01,01,Tributary,Initial sampling was first three riffles below low water crossing on Creek.,Fox Creek,,Chase,,TAPRLOW35
Tallgrass Prairie National Preserve,TAPR,TAPRAqubug02,02,Tributary,,Palmer Creek,,Chase,,TAPRMID36
Wilson's Creek National Battlefield,WICR,WICRAquBug01,01,Tributary,Upper Wilson's Creek (WICR 1),Upper Wilson Creek,,Greene,,WICRUPP01
Wilson's Creek National Battlefield,WICR,WICRAquBug02,02,Tributary,Site 1 2010; Lower Wilson's Creek (WICR 3),Lower Wilson Creek,,Greene,,WICRLOW02
Wilson's Creek National Battlefield,WICR,WICRAquBug03,03,Tributary,Site 2 2010; Skeggs Branch (WICR 2),Skegg's Branch,,Greene,,WICRLOW03
Wilson's Creek National Battlefield,WICR,WICRAQUBUG04,04,Tributary,Site 3 2010; Terrel Creek,Terrell Creek,,Christian,,WICRLOW04
