Status,ReachID,ActiveDates,XstartUTM,YstartUTM,XstartDD,YstartDD,LocationID
Active,OZARSPRBIG,2007 - Present,678704.0399,4091380.656,-90.993,36.952,
Active,OZARSPRPHI,2011 - Present,683241.5735,4078614.883,-90.945,36.836,
Active,BUFFM01,2005 - Present,464230.4217,3981180.315,-93.397,35.974,BUFF_RMFISH_BM01
Active,BUFFM02,2005 - Present,490531.4691,3988107.449,-93.105,36.037,BUFF_RMFISH_BM02
Active,BUFFT09,2006 - Present,489940.9736,3987663.953,-93.112,36.033,BUFF_RMFISH_BT09
Active,BUFFM03,2005 - Present,499451.3649,3983911.835,-93.006,36,BUFF_RMFISH_BM03
Retired,BUFFM04,2005-2010,520207.7351,3981984.401,-92.776,35.982,BUFF_RMFISH_BM04
Active,BUFFM05,2005 - Present,528624.8545,3985161.759,-92.682,36.011,BUFF_RMFISH_BM05
Retired,BUFFT22,2006,537130.9511,3986206.62,-92.588,36.02,BUFF_RMFISH_BT22
Active,BUFFM06,2005 - Present,545208.7447,3994672.923,-92.498,36.096,BUFF_RMFISH_BM06
Retired,BUFFT03,2006,463861.5821,3983130.922,-93.401,35.992,BUFF_RMFISH_BT03
Active,BUFFT31,2006 - Present,551559.3495,3996227.704,-92.427,36.109,BUFF_RMFISH_BT31
Active,BUFFT30,2006 - Present,551612.6056,3993466.239,-92.427,36.084,BUFF_RMFISH_BT30
Retired,BUFFT24,2006,540327.809,3991984.759,-92.552,36.072,BUFF_RMFISH_BT24
Active,BUFFT05,2007 - Present,480038.5259,3992818.666,-93.222,36.08,BUFF_RMFISH_BT05
Active,BUFFT07,2007 - Present,487827.5099,3990728.241,-93.135,36.061,BUFF_RMFISH_BT07
Retired,BUFFT12,2007,492469.2143,3983166.504,-93.084,35.993,BUFF_RMFISH_BT12
Retired,BUFFT13,2008,495785.1283,3980856.975,-93.047,35.972,BUFF_RMFISH_BT13
Active,BUFFT15,2008 - Present,503954.2181,3985110.758,-92.956,36.01,BUFF_RMFISH_BT15
Retired,BUFFT16,2008,504349.1571,3985235.684,-92.952,36.012,BUFF_RMFISH_BT16
Active,BUFFT19,2008 - Present,520558.9553,3981081.124,-92.772,35.974,BUFF_RMFISH_BT19
Retired,BUFFT21,2007,528358.941,3983921.169,-92.685,35.999,BUFF_RMFISH_BT21
Retired,BUFFT25,2007,539898.6072,3993671.913,-92.557,36.087,BUFF_RMFISH_BT25
Retired,BUFFT28,2008,544149.9552,3998686.967,-92.509,36.132,BUFF_RMFISH_BT28
Retired,BUFFT33,2007,552512.0577,4000971.086,-92.416,36.152,BUFF_RMFISH_BT33
Retired,BUFFT04,2008,471964.3642,3990502.705,-93.311,36.059,BUFF_RMFISH_BT04
Retired,BUFFT01,2009,464362.8436,3977975.544,-93.395,35.945,BUFF_RMFISH_BT01
Retired,BUFFT06,2009,481367.55,3992848.57,-93.207,36.08,BUFF_RMFISH_BT06
Retired,BUFFT08,2010,489480.2196,3989716.01,-93.117,36.052,BUFF_RMFISH_BT08
Retired,BUFFT10,2009,491031.748,3986751.818,-93.1,36.025,BUFF_RMFISH_BT10
Retired,BUFFT11,2009,492332.743,3984111.079,-93.085,36.001,BUFF_RMFISH_BT11
Retired,BUFFT14,2010,499773.1745,3983377.902,-93.003,35.995,BUFF_RMFISH_BT14
Retired,BUFFT17,2010,509219.8351,3975383.595,-92.898,35.923,BUFF_RMFISH_BT17
Active,BUFFM04,2013 - present,520051.5504,3982119.898,-92.778,35.983,BUFF_RMFISH_BM04
Active,BUFFT20,2009 - Present,527094.5304,3982824.761,-92.699,35.989,BUFF_RMFISH_BT20
Active,BUFFT23,2009 - Present,537818.3262,3989678.235,-92.58,36.051,BUFF_RMFISH_BT23
Active,BUFFT27,2010 - Present,540753.9035,3998691.588,-92.547,36.132,BUFF_RMFISH_BT27
Retired,BUFFT29,2010,547354.7112,3992058.809,-92.474,36.072,BUFF_RMFISH_BT29
Retired,BUFFT32,2010,551000.4997,3999029.236,-92.433,36.135,BUFF_RMFISH_BT32
