ParkName,ParkCode,LocationID,PeriodID,EventID,RiffleNo,RiffleLength,Temperature,SpecificConductance,pH,DO,Turbidity,Note
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2007JAN04,BUFFRMINVE2007JAN09,3,43.00,8.10,99.80,7.26,11.97,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov27,1,13.30,8.80,180.80,7.55,9.78,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov27,2,15.50,9.00,178.80,7.30,9.34,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov27,3,18.80,8.40,182.20,7.45,9.55,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec03,1,-999.00,6.70,115.90,7.62,12.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec03,2,-999.00,6.70,157.00,8.17,13.59,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec03,3,-999.00,6.20,157.60,8.16,13.30,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan14,1,-999.00,3.20,180.40,7.81,14.82,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan14,2,-999.00,3.50,201.40,7.49,15.26,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan14,3,-999.00,3.20,198.40,7.81,14.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan06,1,-999.00,6.40,168.70,8.40,13.36,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan06,2,-999.00,7.30,170.90,8.46,13.40,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan06,3,-999.00,7.20,171.41,8.48,13.39,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2013Nov21,BUFFRMINVE2014Jan23,1,-999.00,3.00,103.20,8.04,12.66,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2013Nov21,BUFFRMINVE2014Jan23,2,-999.00,3.40,137.20,7.82,12.85,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2013Nov21,BUFFRMINVE2014Jan23,3,-999.00,3.50,137.30,7.88,12.91,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,1,-999.00,8.10,127.10,7.80,12.45,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,2,-999.00,8.20,127.30,7.79,12.16,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,3,-999.00,8.30,128.50,7.81,12.01,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2017Nov15,BUFFRMINVE2017Nov29,1,-999.00,11.10,241.40,7.78,11.44,-999.00,Very low flow
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2017Nov15,BUFFRMINVE2017Nov29,2,-999.00,11.40,244.60,7.67,11.45,-999.00,Very low flow
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2017Nov15,BUFFRMINVE2017Nov29,3,-999.00,11.70,246.10,7.63,11.10,-999.00,Very low flow
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov20,1,-999.00,8.90,162.60,8.39,12.13,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov20,2,-999.00,8.90,163.10,8.10,12.22,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov20,3,-999.00,9.10,162.60,8.07,12.15,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov09,1,-999.00,10.60,219.20,7.82,11.10,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov09,2,-999.00,10.70,219.10,7.74,11.09,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov09,3,-999.00,10.90,219.10,7.75,11.42,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov02,1,-999.00,8.30,234.50,8.13,11.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov02,2,-999.00,8.40,234.40,8.14,11.84,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov02,3,-999.00,9.60,234.10,8.15,11.59,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,1,83.00,7.76,-999.00,7.65,11.56,-999.00,Spec Cond lacked data and was originally entered as -999.
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,2,31.40,7.10,143.00,7.53,11.26,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,3,33.00,7.00,171.20,7.22,11.08,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,1,36.00,10.20,131.60,7.62,10.59,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,2,50.00,9.90,129.30,7.52,10.71,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB21,3,16.50,10.20,132.40,7.37,9.64,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov28,1,31.00,9.40,196.10,7.74,7.96,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov28,2,10.10,9.80,175.20,7.49,9.81,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov28,3,24.20,9.70,173.10,7.58,9.82,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec02,1,-999.00,4.90,104.20,7.61,13.51,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec02,2,-999.00,5.80,154.90,8.16,14.04,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec02,3,-999.00,7.50,151.10,8.24,14.08,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan15,1,-999.00,5.50,205.80,7.65,12.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan15,2,-999.00,5.60,203.60,7.47,13.27,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan15,3,-999.00,5.70,203.30,7.46,13.28,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan09,1,-999.00,8.50,188.90,8.09,12.08,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan09,2,-999.00,8.70,184.70,8.28,12.60,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan09,3,-999.00,9.20,184.60,8.25,11.73,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2013Nov21,BUFFRMINVE2014Feb19,1,-999.00,8.00,180.40,8.26,12.15,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2013Nov21,BUFFRMINVE2014Feb19,2,-999.00,8.20,176.70,8.20,12.37,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2013Nov21,BUFFRMINVE2014Feb19,3,-999.00,8.40,177.20,8.17,12.54,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,1,-999.00,8.51,141.00,7.93,-999.00,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,2,-999.00,8.61,141.00,7.99,-999.00,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,3,-999.00,8.77,142.00,8.01,9.20,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2017Nov15,BUFFRMINVE2017Dec01,1,-999.00,9.60,217.30,8.02,9.19,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2017Nov15,BUFFRMINVE2017Dec01,2,-999.00,9.80,214.40,8.05,10.05,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2017Nov15,BUFFRMINVE2017Dec01,3,-999.00,10.00,215.00,7.96,10.25,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov20,1,-999.00,10.40,169.80,8.13,12.84,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov20,2,-999.00,10.40,166.20,8.14,13.01,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov20,3,-999.00,10.50,166.80,8.12,13.04,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov08,1,-999.00,11.90,228.10,8.09,11.93,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov08,2,-999.00,12.50,227.70,7.94,12.42,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov08,3,-999.00,12.80,227.20,8.19,12.55,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov02,1,-999.00,11.40,191.30,8.21,12.93,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov02,2,-999.00,11.50,110.50,8.23,12.02,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov02,3,-999.00,11.40,211.40,8.23,12.15,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,1,24.30,8.50,-999.00,7.85,11.29,-999.00,Spec Cond lacked data and was originally entered as -999.
