geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
PIPE_InvPla_47	44.014833	44.014833	-96.318592	-96.318592
PIPE_InvPla_49	44.014342	44.014342	-96.329556	-96.329556
PIPE_InvPla_51	44.014042	44.014042	-96.328438	-96.328438
PIPE_InvPla_52	44.014292	44.014292	-96.326771	-96.326771
PIPE_InvPla_88	44.011234	44.011234	-96.322668	-96.322668
PIPE_InvPla_90	44.011146	44.011146	-96.319687	-96.319687
PIPE_InvPla_91	44.011126	44.011126	-96.318508	-96.318508
PIPE_InvPla_92	44.010425	44.010425	-96.330875	-96.330875
PIPE_InvPla_93	44.010392	44.010392	-96.329696	-96.329696
PIPE_InvPla_94	44.010357	44.010357	-96.328327	-96.328327
PIPE_InvPla_95	44.01024	44.01024	-96.326941	-96.326941
PIPE_InvPla_99	44.010232	44.010232	-96.322691	-96.322691
PIPE_InvPla_100	44.00955	44.00955	-96.322108	-96.322108
PIPE_InvPla_101	44.010239	44.010239	-96.321607	-96.321607
PIPE_InvPla_105	44.009323	44.009323	-96.319558	-96.319558
PIPE_InvPla_106	44.009218	44.009218	-96.318483	-96.318483
PIPE_InvPla_108	44.009425	44.009425	-96.329745	-96.329745
PIPE_InvPla_109	44.009409	44.009409	-96.328359	-96.328359
PIPE_InvPla_110	44.009336	44.009336	-96.326982	-96.326982
PIPE_InvPla_111	44.009289	44.009289	-96.325639	-96.325639
PIPE_InvPla_112	44.009146	44.009146	-96.32428	-96.32428
HOME_InvPla_1	34.510094	34.510094	-93.112586	-93.112586
HOME_InvPla_2	34.512442	34.512442	-93.110805	-93.110805
HOME_InvPla_3	40.291558	40.291558	-96.832932	-96.832932
HOME_InvPla_5	34.520115	34.520115	-93.101674	-93.101674
HOME_InvPla_6	34.522338	34.522338	-93.0986	-93.0986
HOME_InvPla_7	40.290869	40.290869	-96.83377	-96.83377
HOME_InvPla_9	40.290119	40.290119	-96.833856	-96.833856
HOME_InvPla_13	40.289395	40.289395	-96.835113	-96.835113
HOME_InvPla_16	40.289417	40.289417	-96.832116	-96.832116
HOME_InvPla_17	34.504805	34.504805	-93.107818	-93.107818
HOME_InvPla_18	40.288605	40.288605	-96.835194	-96.835194
HOME_InvPla_19	34.509912	34.509912	-93.101662	-93.101662
HOME_InvPla_20	34.512465	34.512465	-93.098583	-93.098583
HOME_InvPla_21	40.288466	40.288466	-96.83411	-96.83411
HOME_InvPla_12	34.517567	34.517567	-93.098589	-93.098589
HOME_InvPla_15	40.289494	40.289494	-96.832998	-96.832998
