geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
2345	37.11632419	37.11632419	-93.40702551	-93.40702551
2346	37.11570083	37.11570083	-93.40580389	-93.40580389
2347	37.1147637	37.1147637	-93.40227908	-93.40227908
2348	37.10652085	37.10652085	-93.3997507	-93.3997507
2349	37.10561055	37.10561055	-93.40056096	-93.40056096
2350	37.09227423	37.09227423	-93.40726283	-93.40726283
2351	37.09583594	37.09583594	-93.41004774	-93.41004774
2352	37.11626211	37.11626211	-93.40692755	-93.40692755
2353	37.11569543	37.11569543	-93.40577875	-93.40577875
2354	37.11482469	37.11482469	-93.40231015	-93.40231015
2355	37.11141868	37.11141868	-93.40095652	-93.40095652
2356	37.10011427	37.10011427	-93.40441387	-93.40441387
2357	37.09143543	37.09143543	-93.40496	-93.40496
2358	37.10206233	37.10206233	-93.41550585	-93.41550585
2359	37.11695276	37.11695276	-93.40816101	-93.40816101
2360	37.11567531	37.11567531	-93.40515806	-93.40515806
2361	37.11484307	37.11484307	-93.40232226	-93.40232226
2362	37.10538053	37.10538053	-93.40076295	-93.40076295
2363	37.09217264	37.09217264	-93.40359733	-93.40359733
2364	37.09186157	37.09186157	-93.40398233	-93.40398233
2365	37.09584738	37.09584738	-93.41044016	-93.41044016
2366	37.10192362	37.10192362	-93.41546333	-93.41546333
2367	37.11665667	37.11665667	-93.41563623	-93.41563623
2368	37.11678267	37.11678267	-93.40779937	-93.40779937
2369	37.11567091	37.11567091	-93.40364585	-93.40364585
2370	37.11459368	37.11459368	-93.40218985	-93.40218985
2371	37.11152614	37.11152614	-93.40105051	-93.40105051
2372	37.11100743	37.11100743	-93.40052178	-93.40052178
2373	37.10980627	37.10980627	-93.39861252	-93.39861252
2374	37.10893713	37.10893713	-93.39845713	-93.39845713
2375	37.09999372	37.09999372	-93.40441775	-93.40441775
2376	37.09506201	37.09506201	-93.40373629	-93.40373629
2377	37.09424794	37.09424794	-93.40360854	-93.40360854
2378	37.09410702	37.09410702	-93.40358839	-93.40358839
2379	37.09272719	37.09272719	-93.40340229	-93.40340229
2380	37.09268679	37.09268679	-93.40340276	-93.40340276
2381	37.09162805	37.09162805	-93.40448704	-93.40448704
2382	37.09135094	37.09135094	-93.40570964	-93.40570964
2383	37.09387628	37.09387628	-93.40777695	-93.40777695
2384	37.10684174	37.10684174	-93.41608563	-93.41608563
2385	37.11593178	37.11593178	-93.4166465	-93.4166465
2386	37.1167163	37.1167163	-93.41542047	-93.41542047
2387	37.11705262	37.11705262	-93.40863768	-93.40863768
2388	37.11700061	37.11700061	-93.40833822	-93.40833822
2389	37.11646698	37.11646698	-93.40727347	-93.40727347
2390	37.11567922	37.11567922	-93.40405602	-93.40405602
2391	37.11518865	37.11518865	-93.402571	-93.402571
2392	37.11116156	37.11116156	-93.40070266	-93.40070266
2393	37.10973493	37.10973493	-93.39856496	-93.39856496
2394	37.10926123	37.10926123	-93.39844158	-93.39844158
2395	37.10003212	37.10003212	-93.40441284	-93.40441284
2396	37.09826702	37.09826702	-93.4041955	-93.4041955
2397	37.09488109	37.09488109	-93.4037057	-93.4037057
2398	37.09423865	37.09423865	-93.4036102	-93.4036102
2399	37.09261748	37.09261748	-93.40340599	-93.40340599
2400	37.09259096	37.09259096	-93.40340961	-93.40340961
2401	37.09239781	37.09239781	-93.40731557	-93.40731557
2402	37.09378346	37.09378346	-93.40775991	-93.40775991
2403	37.09547134	37.09547134	-93.40812301	-93.40812301
2404	37.10686302	37.10686302	-93.41608697	-93.41608697
2405	37.11673834	37.11673834	-93.41530495	-93.41530495
2406	37.11706243	37.11706243	-93.4087698	-93.4087698
2407	37.11567949	37.11567949	-93.4056587	-93.4056587
2408	37.11567653	37.11567653	-93.4040703	-93.4040703
2409	37.11520429	37.11520429	-93.40258547	-93.40258547
2410	37.11125442	37.11125442	-93.40080287	-93.40080287
2411	37.10961533	37.10961533	-93.39850381	-93.39850381
2412	37.10931886	37.10931886	-93.39844352	-93.39844352
2413	37.09822632	37.09822632	-93.40419146	-93.40419146
2414	37.09500882	37.09500882	-93.40372725	-93.40372725
2415	37.09413587	37.09413587	-93.40359728	-93.40359728
2416	37.09268151	37.09268151	-93.40339974	-93.40339974
2417	37.09256059	37.09256059	-93.40341369	-93.40341369
2418	37.0913672	37.0913672	-93.4058774	-93.4058774
2419	37.09235482	37.09235482	-93.40729416	-93.40729416
2420	37.09394421	37.09394421	-93.40778319	-93.40778319
2421	37.09756142	37.09756142	-93.41145717	-93.41145717
2422	37.09779347	37.09779347	-93.41157642	-93.41157642
2423	37.11568628	37.11568628	-93.40571722	-93.40571722
2424	37.1156737	37.1156737	-93.40370352	-93.40370352
2425	37.11515383	37.11515383	-93.40253211	-93.40253211
2426	37.11091975	37.11091975	-93.40040537	-93.40040537
2427	37.10659626	37.10659626	-93.39967654	-93.39967654
2428	37.10013631	37.10013631	-93.4044141	-93.4044141
2429	37.09448448	37.09448448	-93.4036425	-93.4036425
2430	37.09250817	37.09250817	-93.40342933	-93.40342933
2431	37.09245848	37.09245848	-93.40344338	-93.40344338
2432	37.09442863	37.09442863	-93.40783693	-93.40783693
