ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,Season,StartDate,EndDate,RiffleNo,RiffleLength,Temperature,SpecificConductance,pH,DO,Turbidity,Note
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,1,16.90,9.20,191.60,7.77,11.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,2,68.00,8.80,189.90,7.51,11.41,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,3,14.60,7.50,184.70,7.44,10.71,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,1,20.00,7.20,120.20,8.28,10.54,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,2,39.00,8.00,118.20,7.20,11.58,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,3,43.00,8.10,99.80,7.26,11.97,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,1,13.30,8.80,180.80,7.55,9.78,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,2,15.50,9.00,178.80,7.30,9.34,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,3,18.80,8.40,182.20,7.45,9.55,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,1,-999.00,6.70,115.90,7.62,12.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,2,-999.00,6.70,157.00,8.17,13.59,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,3,-999.00,6.20,157.60,8.16,13.30,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,1,-999.00,3.20,180.40,7.81,14.82,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,2,-999.00,3.50,201.40,7.49,15.26,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,3,-999.00,3.20,198.40,7.81,14.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,1,-999.00,6.40,168.70,8.40,13.36,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,2,-999.00,7.30,170.90,8.46,13.40,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,3,-999.00,7.20,171.41,8.48,13.39,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,1,-999.00,3.00,103.20,8.04,12.66,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,2,-999.00,3.40,137.20,7.82,12.85,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,3,-999.00,3.50,137.30,7.88,12.91,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,1,-999.00,8.10,127.10,7.80,12.45,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,2,-999.00,8.20,127.30,7.79,12.16,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,3,-999.00,8.30,128.50,7.81,12.01,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,1,-999.00,11.10,241.40,7.78,11.44,-999.00,Very low flow
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,2,-999.00,11.40,244.60,7.67,11.45,-999.00,Very low flow
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,3,-999.00,11.70,246.10,7.63,11.10,-999.00,Very low flow
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,1,-999.00,8.90,162.60,8.39,12.13,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,2,-999.00,8.90,163.10,8.10,12.22,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,3,-999.00,9.10,162.60,8.07,12.15,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,1,-999.00,10.60,219.20,7.82,11.10,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,2,-999.00,10.70,219.10,7.74,11.09,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,3,-999.00,10.90,219.10,7.75,11.42,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,1,83.00,7.76,-999.00,7.65,11.56,-999.00,Spec Cond lacked data and was originally entered as -999.
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,2,31.40,7.10,143.00,7.53,11.26,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,3,33.00,7.00,171.20,7.22,11.08,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,1,36.00,10.20,131.60,7.62,10.59,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,2,50.00,9.90,129.30,7.52,10.71,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,3,16.50,10.20,132.40,7.37,9.64,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,1,31.00,9.40,196.10,7.74,7.96,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,2,10.10,9.80,175.20,7.49,9.81,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,3,24.20,9.70,173.10,7.58,9.82,-999.00,
