ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,tbl_Locations_StreamName,TributaryName,County,StretchNumber,ReachID,PeriodID,Season,StartDate,EndDate,EventID,GaugeSiteNo,tlu_GaugeStations_StreamName,GaugeLocation,Discharge_cms,Units
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Nov27,7067000,Current River,Current River at Van Buren, MO ,22.62,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov19,7067000,Current River,Current River at Van Buren, MO ,23.08,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov10,7067000,Current River,Current River at Van Buren, MO ,30.44,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov19,7067000,Current River,Current River at Van Buren, MO ,30.86,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2021Jan05,7067000,Current River,Current River at Van Buren, MO ,77.59,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM04,04,Mainstem,,Current River,,Shannon,67,CURRM04,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Oct28,7067000,Current River,Current River at Van Buren, MO ,32.56,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2006JAN03,2005,1/3/2006 0:00:00,1/24/2006 0:00:00,OZARRMINVE2006JAN18,7067000,Current River,Current River at Van Buren, MO ,33.70,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2006NOV14,2006,11/14/2006 0:00:00,12/19/2006 0:00:00,OZARRMINVE2006DEC19,7067000,Current River,Current River at Van Buren, MO ,43.04,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2007Nov01,2007,11/1/2007 0:00:00,11/14/2007 0:00:00,OZARRMINVE2007Nov02,7067000,Current River,Current River at Van Buren, MO ,20.98,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2008Nov05,2008,11/5/2008 0:00:00,11/21/2008 0:00:00,OZARRMINVE2008Nov21,7067000,Current River,Current River at Van Buren, MO ,25.03,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2009Nov06,2009,11/6/2009 0:00:00,12/3/2009 0:00:00,OZARRMINVE2009Dec03,7067000,Current River,Current River at Van Buren, MO ,45.59,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Nov27,7067000,Current River,Current River at Van Buren, MO ,22.62,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov19,7067000,Current River,Current River at Van Buren, MO ,23.08,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov10,7067000,Current River,Current River at Van Buren, MO ,30.44,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov19,7067000,Current River,Current River at Van Buren, MO ,30.86,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2020Nov19,7067000,Current River,Current River at Van Buren, MO ,64.85,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM05,05,Mainstem,,Current River,,Shannon,71,CURRM05,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Nov03,7067000,Current River,Current River at Van Buren, MO ,30.58,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2007Nov01,2007,11/1/2007 0:00:00,11/14/2007 0:00:00,OZARRMINVE2007Nov01,7067000,Current River,Current River at Van Buren, MO ,21.18,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2006JAN03,2005,1/3/2006 0:00:00,1/24/2006 0:00:00,OZARRMINVE2006JAN20,7067500,Big Spring,Big Spring near Van Buren, MO,26.96,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2006NOV14,2006,11/14/2006 0:00:00,12/19/2006 0:00:00,OZARRMINVE2006DEC18,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,54.17,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2008Nov05,2008,11/5/2008 0:00:00,11/21/2008 0:00:00,OZARRMINVE2008Nov05,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,35.94,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2009Nov06,2009,11/6/2009 0:00:00,12/3/2009 0:00:00,OZARRMINVE2009Dec02,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,64.02,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Nov29,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,30.70,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov18,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,31.80,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov03,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,43.32,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov20,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,39.34,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2021Jan08,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,80.59,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM06,06,Mainstem,,Current River,,Carter,97,CURRM06,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Nov04,14134500,Current River + Big Spring,Current River + Big Spring at/near Van Buren, MO ,40.38,meters
