ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,tbl_Locations_StreamName,TributaryName,County,StretchNumber,ReachID,PeriodID,Season,StartDate,EndDate,EventID,GaugeSiteNo,tlu_GaugeStations_StreamName,GaugeLocation,Discharge_cms,Units
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov18,7056000,Buffalo River,Buffalo River near St. Joe, AR,30.29,meters
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov03,7056000,Buffalo River,Buffalo River near St. Joe, AR,5.77,meters
Buffalo National River,BUFF,BUFFRMINVEBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,BUFFRMINVE2007JAN04,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,BUFFRMINVE2007FEB22,7056000,Buffalo River,Buffalo River near St. Joe, AR,32.28,meters
Buffalo National River,BUFF,BUFFRMINVEBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan10,7056000,Buffalo River,Buffalo River near St. Joe, AR,51.82,meters
Buffalo National River,BUFF,BUFFRMINVEBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec17,7056000,Buffalo River,Buffalo River near St. Joe, AR,10.22,meters
Buffalo National River,BUFF,BUFFRMINVEBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Nov30,7056000,Buffalo River,Buffalo River near St. Joe, AR,1.49,meters
Buffalo National River,BUFF,BUFFRMINVEBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov21,7056000,Buffalo River,Buffalo River near St. Joe, AR,30.29,meters
Buffalo National River,BUFF,BUFFRMINVEBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov02,7056000,Buffalo River,Buffalo River near St. Joe, AR,6.28,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,20,Tributary,,Buffalo River,Bear Creek,Searcy,472,BUFFT20,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan05,7056515,Bear Creek,Bear Creek near Silver Hill, AR,0.05,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,20,Tributary,,Buffalo River,Bear Creek,Searcy,472,BUFFT20,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2013Dec04,7056515,Bear Creek,Bear Creek near Silver Hill, AR,0.16,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,20,Tributary,,Buffalo River,Bear Creek,Searcy,472,BUFFT20,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Nov24,7056515,Bear Creek,Bear Creek near Silver Hill, AR,0.12,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,20,Tributary,,Buffalo River,Bear Creek,Searcy,472,BUFFT20,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Nov16,7056515,Bear Creek,Bear Creek near Silver Hill, AR,0.29,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,20,Tributary,,Buffalo River,Bear Creek,Searcy,472,BUFFT20,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov05,7056515,Bear Creek,Bear Creek near Silver Hill, AR,0.64,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,20,Tributary,,Buffalo River,Bear Creek,Searcy,472,BUFFT20,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov03,7056515,Bear Creek,Bear Creek near Silver Hill, AR,0.30,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan18,7056700,Buffalo River,Buffalo River near Harriet, AR,24.49,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec09,7056700,Buffalo River,Buffalo River near Harriet, AR,14.26,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Dec08,7056700,Buffalo River,Buffalo River near Harriet, AR,2.01,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov19,7056700,Buffalo River,Buffalo River near Harriet, AR,30.58,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov01,7056700,Buffalo River,Buffalo River near Harriet, AR,8.29,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec18,14111470,Buffalo River,Buffalo River at Pruitt + Big Creek near Mt. Judea AR,12.09,meters
Herbert Hoover NHS,HEHO,HEHOAqubug01,01,Tributary,,Hoover Creek,,Cedar,,HEHOLOW01,HEHOAqubug2008Jul07,2008,7/7/2008 0:00:00,7/7/2008 0:00:00,HEHOAqubug2008Jul07,5464942,Hoover Creek ,Hoover Nat Hist Site, West Branch, IA,0.07,meters
Herbert Hoover NHS,HEHO,HEHOAqubug01,01,Tributary,,Hoover Creek,,Cedar,,HEHOLOW01,HEHOAqubug2011Jul11,2011,7/11/2011 0:00:00,7/11/2011 0:00:00,HEHOAqubug2011Jul11,5464942,Hoover Creek ,Hoover Nat Hist Site, West Branch, IA,0.08,meters
Herbert Hoover NHS,HEHO,HEHOAqubug01,01,Tributary,,Hoover Creek,,Cedar,,HEHOLOW01,HEHOAqubug2014Aug01,2014,8/1/2014 0:00:00,8/1/2014 0:00:00,HEHOAquBug2014Aug01,5464942,Hoover Creek ,Hoover Nat Hist Site, West Branch, IA,0.01,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM01,01,Mainstem,,Current River,,Shannon,14,CURRM01,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Nov13,7064440,Current River,Current River at Montauk State Park, MO ,2.29,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM01,01,Mainstem,,Current River,,Shannon,14,CURRM01,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov13,7064440,Current River,Current River at Montauk State Park, MO ,1.40,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM01,01,Mainstem,,Current River,,Shannon,14,CURRM01,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov09,7064440,Current River,Current River at Montauk State Park, MO ,2.38,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM01,01,Mainstem,,Current River,,Shannon,14,CURRM01,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov13,7064440,Current River,Current River at Montauk State Park, MO ,3.23,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM01,01,Mainstem,,Current River,,Shannon,14,CURRM01,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2020Nov17,7064440,Current River,Current River at Montauk State Park, MO ,3.37,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM01,01,Mainstem,,Current River,,Shannon,14,CURRM01,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Oct27,7064440,Current River,Current River at Montauk State Park, MO ,2.83,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM02,02,Mainstem,,Current River,,Shannon,35,CURRM02,OZARRMINVE2009Nov06,2009,11/6/2009 0:00:00,12/3/2009 0:00:00,OZARRMINVE2009Dec02,7064533,Current River,Current River above Akers, MO ,20.00,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM02,02,Mainstem,,Current River,,Shannon,35,CURRM02,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Nov28,7064533,Current River,Current River above Akers, MO ,4.81,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM02,02,Mainstem,,Current River,,Shannon,35,CURRM02,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov13,7064533,Current River,Current River above Akers, MO ,4.44,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM02,02,Mainstem,,Current River,,Shannon,35,CURRM02,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov04,7064533,Current River,Current River above Akers, MO ,6.94,meters
