"ParkName","CalYr","PeriodDescriptor","DataReleaseID","Reading_No","PAR_CanopyInMicroMolePerMeterSquaredPerSecond","PAR_FullSunInMicroMolePerMeterSquaredPerSecond","type","basisOfRecord","ParkCode"
"Wilson's Creek National Battlefield",2008,"Spring","A_26g",1,285.1,1391,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_26h",1,1273.5,1396,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_26i",1,128.5,1400.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27a",1,1455.9,1431.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27b",1,1461,1443.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27c",1,1484,1444.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27f",1,1351,1392.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27e",1,1541,1461.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27d",1,244,1471.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27g",1,1261.8,1477.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27h",1,1508.9,1487.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_27i",1,1705.3,1492.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28a",1,1532.3,1503.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28b",1,1554.4,1496.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28c",1,728.8,1493.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28f",1,1522.2,1476.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28e",1,1511,1458.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28d",1,1371.6,1501.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28g",1,914.2,1512.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28h",1,214.9,1533.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_28i",1,182.33,1524.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29a",1,1118.4,1542.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29b",1,959.1,1558,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29c",1,62.42,1550,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29f",1,1602.5,1583,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29e",1,1138.6,1597,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29d",1,1438.5,1604.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29g",1,1427.8,1591.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29h",1,658.5,1586.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_29i",1,214,1586.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35a",1,240.3,1607,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35b",1,633.8,1602.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35c",1,665.2,1605.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35f",1,1609.8,1590.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35e",1,1451.6,1624.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35d",1,1355.9,1662,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35g",1,430.6,1663,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35h",1,528.4,1685.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_35i",1,1489.6,1730,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34a",1,1372.8,1533.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34b",1,570.2,1633.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34c",1,409.9,1725.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34f",1,1524.1,1747,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34e",1,1606.7,1753.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34d",1,1637.7,1755.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34g",1,274.1,1719.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34h",1,1715.9,1734.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_34i",1,279.2,1726.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33a",1,1818.4,1769.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33b",1,1885.3,1787.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33c",1,1876.6,1836.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33f",1,1718.2,1682.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33e",1,1701.5,1674.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33d",1,1738.1,1661.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33g",1,1682,1636.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33h",1,1694.3,1674.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_33i",1,1660,1650.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32a",1,352.7,1663.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32b",1,196.18,1748.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32c",1,1799.7,1783,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10a",1,776.7,913.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10b",1,911.9,918.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10c",1,899.9,918.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10d",1,993.6,937.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10e",1,1120.5,939.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10f",1,56.74,954.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10g",1,1102.9,954.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10h",1,819.9,968.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_10i",1,805.59,975.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11a",1,115.4,986.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11b",1,814.7,989.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11c",1,182.59,998.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11d",1,321.9,1008.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11e",1,39.1,1007.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11f",1,152.81,1016.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11g",1,850.9,1015.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11h",1,42.9,1023,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_11i",1,951.3,1018.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17a",1,155.6,1023.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17b",1,335.5,1031.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17c",1,1017,1042.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17d",1,836.6,1042,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17e",1,202,1047.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17f",1,683.3,1053.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17g",1,504.7,1057.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17h",1,147.89,1055.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_17i",1,631.2,1065.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16a",1,833.2,1082.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16b",1,555.4,1085.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16c",1,588,1065.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16d",1,167,1099.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16e",1,448.4,1106,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16f",1,819.9,1116.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16g",1,1283.8,1134.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16h",1,42.8,1133.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_16i",1,76.3,1131.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21a",1,879.7,1151.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21b",1,1167.2,1168.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21c",1,1097.5,1181.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21d",1,1176.8,1184.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21e",1,1322.1,1196.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21f",1,1236.2,1191.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21g",1,1173.5,1197.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21h",1,1300,1199.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_21i",1,309.9,1201.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22a",1,1133.4,1218.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22b",1,1271.4,1219,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22c",1,71.9,1223.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22d",1,376.1,1223.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22e",1,611.3,1226.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22f",1,570.9,1232.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22g",1,1328.4,1239.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22h",1,70.44,1245.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_22i",1,149.72,1275.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23a",1,505.2,1292.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23b",1,228.8,1302.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23c",1,157.6,1307.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23f",1,339.1,1313.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23e",1,27.75,1317.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23d",1,35.38,1323.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23g",1,369.2,1326.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32f",1,1906.7,1830.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32e",1,1728,1810.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32d",1,1354.2,1792.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32g",1,1159.9,1747.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32h",1,996.1,1704.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_32i",1,1506.8,1595.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38a",1,816.8,1474.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38b",1,1217.4,1484.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38c",1,1279.6,1473.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38f",1,1444.8,1441.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38e",1,1359.2,1479.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38d",1,1372,1496.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38g",1,1219.1,1498.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38h",1,673.2,1485.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_38i",1,1343.9,1282.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39a",1,1320.4,1336.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39b",1,1419.2,1405.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39c",1,705.4,1422,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39f",1,1254.7,1400.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39e",1,1429.6,1370.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39d",1,1488,1491.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39g",1,1543.8,1481.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39h",1,974.1,1399.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_39i",1,1440.3,1436.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40a",1,1510,1575.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40b",1,1087.9,1576.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40c",1,1278.7,1652.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40f",1,552.6,1697.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40e",1,262.8,1749.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40d",1,1524.6,1668.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40g",1,1290.9,1648.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40h",1,1455.4,1669.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_40i",1,235.6,1731.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41a",1,768,1703.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41b",1,1649.7,1762.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41c",1,1635.4,1767.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41f",1,1716.1,1849.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41e",1,1087.4,1870.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41d",1,1737.5,1876.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41g",1,699.7,1872.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41h",1,1162.5,1841.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_41i",1,1594.5,1845.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48a",1,196.65,1855.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48b",1,210.5,1863.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48c",1,670.5,1905.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48f",1,635.9,1879.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48e",1,132.2,1786,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48d",1,193.25,1883.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48g",1,228.5,1873.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48h",1,160.96,1844.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_48i",1,808.2,1786,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47a",1,1130.8,1688.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47b",1,1601.8,1681.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47c",1,1606.1,1748.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47f",1,168.96,1705.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47e",1,1648.3,1670.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47d",1,810.5,1687,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47g",1,86.54,1760,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47h",1,1477.2,1777.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_47i",1,408.5,1706,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46a",1,1337.6,1670.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46b",1,1297.2,1647.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46c",1,179,1710,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46f",1,898.7,1730,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46e",1,747.4,1669.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46d",1,1584.5,1667,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46g",1,1171.4,1659.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46h",1,522.7,1744.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_46i",1,633.6,1727.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45a",1,1687.2,1722.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45b",1,960.7,1722.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45c",1,1623.9,1732.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45f",1,1591,1668.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45e",1,1665.6,1735.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45d",1,1853.9,1761.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45g",1,1638.6,1723,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45h",1,1583,1739.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_45i",1,1634,1731.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44a",1,1531.6,1749.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44b",1,1341.8,1739.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44c",1,1599.2,1712.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44f",1,1645.7,1784,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44e",1,1879.2,1870.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44d",1,288.1,1886.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44g",1,1595.5,1966,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44h",1,1845.7,1931.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_44i",1,1726.7,1944.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50a",1,1743.8,1827.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50b",1,1769.1,1849.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50c",1,1776.6,1864.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50f",1,1972.6,1922.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50e",1,1645.9,1978.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50d",1,1902.4,1975.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50g",1,298.5,1961.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50h",1,1934.8,1938.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_50i",1,1828.5,1905.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51a",1,1948,1890.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51b",1,2020,1826.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51c",1,1874.3,1853.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51f",1,2041,1866.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51e",1,1676.2,1865.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51d",1,1851.7,1915.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51g",1,1626.2,1881.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51h",1,1960.4,1831.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_51i",1,1888.1,1802,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52a",1,1730.2,1844.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52b",1,1502.5,1849.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52c",1,1500.9,1780.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52f",1,1648.5,1850.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52e",1,1002,1835.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52d",1,1691,1802.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52g",1,1901.7,1776.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52h",1,671.3,1835.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_52i",1,1898.7,1860.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53a",1,487.1,1844.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53b",1,554.7,1869.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53c",1,844.1,1876.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53f",1,1846.4,1901,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53e",1,672.7,1876.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53d",1,534.1,1863.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53g",1,1170.2,1759.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53h",1,1004.4,1777.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_53i",1,1438,1854.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_54a",1,1752.9,1852.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_54b",1,948.7,1844.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_54c",1,245.2,1860.7,"Event","HumanObservation","WICR"
