"ParkName","CalYr","PeriodDescriptor","DataReleaseID","Reading_No","PAR_CanopyInMicroMolePerMeterSquaredPerSecond","PAR_FullSunInMicroMolePerMeterSquaredPerSecond","type","basisOfRecord","ParkCode"
"Wilson's Creek National Battlefield",2007,"Spring","A_45e",3,1475.6,1438.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_45e",4,1062.3,1425.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_45f",1,1485,1579.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_45f",2,1454.5,1422.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_45f",3,1472.1,1510.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_45f",4,1462.2,1476.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_46f",1,164.25,1535.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_46f",2,745.8,1453.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_46f",3,77.75,1468.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_46f",4,98.41,1614.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_46h",1,585.6,1410.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_46h",2,626.7,1321.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_46h",3,330.8,1533,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_46h",4,973.1,1440.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_47b",1,1497.6,1373,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_47b",2,1557,1382.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_47b",3,1454.7,1310.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_47b",4,1594.4,1291.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_47e",1,1460.6,1407,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_47e",2,1511,1323,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_47e",3,1471.1,1346.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_47e",4,1512.5,1266.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_48a",1,318.4,1448.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_48a",2,202.6,1428.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_48a",3,231.1,1393.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_48a",4,93.15,1445.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_50d",1,282.4,1727.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_50d",2,185.27,1728.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_50d",3,1269.4,1843.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_50d",4,1516.5,1796.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_51a",1,1609.2,1637.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_51a",2,1601.9,1701.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_51a",4,1654.7,1701,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_51d",1,1625.4,1709.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_51d",2,1610.6,1718.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_51d",3,1464.5,1652.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_51d",4,1452.6,1685.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_52g",1,1022.1,1759.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_52g",2,1417.8,1806.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_52g",3,300.1,1817.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_52g",4,826.3,1794.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_53d",1,1383,1420,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_53d",2,1466.6,1419.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_53d",3,197.95,1524.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_53d",4,213.7,1550.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_53h",1,1581.5,1614.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_53h",2,177.26,1641.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_53h",3,212.7,1631.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_53h",4,294.9,1602.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_57a",1,1662.7,1809.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_57a",2,1673.8,1866,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_57a",3,1573.5,1811.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_57a",4,1690.4,1881.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_58g",1,1017,1799.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_58g",2,757.7,1621.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_58g",3,1613.4,1742,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_58g",4,1663,1766.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_60c",1,542.4,1607.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_60c",2,166.14,1589.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_60c",3,137.81,1587.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_60c",4,1595.6,1703.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_64i",1,1683.6,1791.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_64i",2,1725.7,1807.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_64i",3,1721.9,1787.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_64i",4,1633.8,1825.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_66a",1,222.6,1773.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_66a",2,1675,1908.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_66a",3,1586,2035,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_66d",1,1776.2,1880.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_66d",2,1730.4,1885.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_66d",3,1652.2,1929,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_66d",4,86.03,1842.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11d",1,72.72,430.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11d",2,261.1,440.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11d",3,146.25,449.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11d",4,296.5,445.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11e",1,73.9,418.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11e",2,77.6,418.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11e",3,93.9,413.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11e",4,262.6,426.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11h",1,316.5,413.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11h",2,262.9,419.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11h",3,316.9,473.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_11h",4,305.8,489.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_16b",1,418.2,515.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_16b",2,393.8,521.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_16b",3,329.8,549.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_16b",4,366.5,612.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_16d",1,570.1,918.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_16d",2,518.2,985.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_16d",3,814.6,944.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_16d",4,715,938.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_17g",1,222.7,552.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_17g",2,96.74,523.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_17g",3,219.1,713.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_17g",4,277.7,832.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_17i",1,419.3,1369.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_17i",2,1114.9,1549.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_17i",3,447.8,1367,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_17i",4,210.2,1207.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_21f",1,884.1,1125,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_21f",2,241.2,1326.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_21f",3,1092.1,1250.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_21f",4,1333.5,1248.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_23h",1,762.9,1227.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_23h",2,78.35,1286.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_23h",3,813.9,1221.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_23h",4,292.1,1255.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_26c",1,1033.2,1330.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_26c",2,428.5,707.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_26c",3,455.7,536.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_26c",4,421.7,595.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_27c",1,1421.8,1330.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_27c",2,1118.6,1030.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_27c",3,1297.8,1115.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_27c",4,1452.3,1440.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_28a",1,1065.6,969.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_28a",2,580.4,567.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_28a",3,630.9,604.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_28a",4,1018.2,900.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_28i",1,733.5,1139.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_28i",2,234.4,784.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_28i",3,763.6,1150.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_28i",4,288.3,1175.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_34d",1,545.9,1136.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_51a",3,1628.5,1681.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_34d",2,135.09,1151.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_34d",3,1234.8,1134.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_34d",4,123.7,1130.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_34f",1,750.2,1223.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_34f",2,1021.7,1125,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_34f",3,358.8,1201,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_34f",4,698.3,1246.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_38a",1,512.6,1383.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_38a",2,243.6,1321.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_38a",3,1147.3,1325.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_38a",4,259.7,1355.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_39c",1,734.2,1392.4,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_39c",2,1301.8,1294.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_39c",3,965.6,1338.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_39c",4,334.6,1305.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_39i",1,1300.6,1391,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_39i",2,1334.7,1424.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_39i",3,1305.1,1461.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_39i",4,1253,1390.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_40i",1,713.3,1427.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_40i",2,317,1401.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_40i",3,717.6,1281,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_40i",4,518.4,1281,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_44e",1,1488,1438.7,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_44e",2,1453.3,1462.2,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_44e",3,1476,1545.3,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2007,"Spring","A_44e",4,1431.2,1497.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23h",1,315.8,1324.6,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_23i",1,784.5,1334,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_26a",1,824.6,1366.8,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_26b",1,1305,1370.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_26c",1,1007.6,1375.5,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_26f",1,218.4,1376.1,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_26e",1,1266,1380.9,"Event","HumanObservation","WICR"
"Wilson's Creek National Battlefield",2008,"Spring","A_26d",1,393.5,1389.1,"Event","HumanObservation","WICR"
