TaxonCode,TSN,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
HEPTSE,100507,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,2.3,Sc,Scrapers
HEPTSE,100507,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,2.3,C,Collectors
HEPTRH,100572,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Rhithrogena,0,C,Collectors
HEPTHE,100602,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,2.4,Sc,Scrapers
HEPTHE,100602,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,2.4,C,Collectors
HEPTEP,100626,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Epeorus,1.3,C,Collectors
HEPTLE,100676,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,1.2,C,Collectors
HEPTLE,100676,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,1.2,Sc,Scrapers
HEPTST,100713,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenacron,7.1,C,Collectors
HEPTMC,100744,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,5,C,Collectors
HEPTMC,100744,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,5,Sc,Scrapers
BAET,100775,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,4,C,Collectors
BAETHE,100794,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Heterocloeon,3.6,Sc,Scrapers
BAETBA,100800,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Baetis,2.8,C,Collectors
BAETAC,100801,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Acentrella,3.6,C,Collectors
BAETPA,100899,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Paracloeodes,8.7,Sc,Scrapers
BAETCA,100903,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Callibaetis,5.6,C,Collectors
SIPHSI,100953,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,,Siphlonurus,2.6,C,Collectors
SIPHSI,100953,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,,Siphlonurus,2.6,Sc,Scrapers
AMELAM,100996,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,2.1,Sc,Scrapers
AMELAM,100996,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,2.1,C,Collectors
ISONIS,101041,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,,Isonychia,3.8,F,Filterers
LEPTHA,101122,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Habrophlebiodes,0,C,Collectors
LEPTHA,101122,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Habrophlebiodes,0,Sc,Scrapers
LEPTLE,101148,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Leptophlebia,6.4,C,Collectors
LEPTPA,101187,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,1.2,Sh,Shredders
LEPTPA,101187,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,1.2,C,Collectors
EPHE,101232,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,1,C,Collectors
EPHE,101232,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,1,Sc,Scrapers
EPHEEP,101233,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Ephemerella,2.9,C,Collectors
EPHEEP,101233,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Ephemerella,2.9,Sc,Scrapers
EPHEEU,101324,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Eurylophella,2.1,C,Collectors
EPHEAT,101338,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Attenella,2.6,C,Collectors
EPHESE,101395,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Serratella,2.1,C,Collectors
LEPTTR,101405,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,,Tricorythodes,5.4,C,Collectors
CAENCA,101478,Arthropoda,Insecta,Ephemeroptera,Caenidae,,Caenis,7.6,C,Collectors
CAENCA,101478,Arthropoda,Insecta,Ephemeroptera,Caenidae,,Caenis,7.6,Sc,Scrapers
BATCBA,101494,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,Baetisca,1.4,Sc,Scrapers
BATCBA,101494,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,Baetisca,1.4,C,Collectors
EPHEEH,101526,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Ephemera,1.1,C,Collectors
EPHEEH,101526,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Ephemera,1.1,Pr,Predators
EPHEHE,101537,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Hexagenia,4.7,C,Collectors
ODON,101593,Arthropoda,Insecta,Odonata,,,,,Pr,Predators
AESHBO,101645,Arthropoda,Insecta,Odonata,Aeshnidae,,Boyeria,6.3,Pr,Predators
GOMP,101664,Arthropoda,Insecta,Odonata,Gomphidae,,,5.3,Pr,Predators
GOMPDR,101730,Arthropoda,Insecta,Odonata,Gomphidae,,Dromogomphus,6.3,Pr,Predators
GOMPHA,101734,Arthropoda,Insecta,Odonata,Gomphidae,,Hagenius,4,Pr,Predators
GOMPOP,101738,Arthropoda,Insecta,Odonata,Gomphidae,,Ophiogomphus,6.2,Pr,Predators
GOMPST,101761,Arthropoda,Insecta,Odonata,Gomphidae,,Stylogomphus,4.8,Pr,Predators
GOMPGM,101777,Arthropoda,Insecta,Odonata,Gomphidae,,Gomphurus,6.2,Pr,Predators
LIBE,101797,Arthropoda,Insecta,Odonata,Libellulidae,,,9,Pr,Predators
LIBELI,101893,Arthropoda,Insecta,Odonata,Libellulidae,,Libellula,9.8,Pr,Predators
MACRMA,101918,Arthropoda,Insecta,Odonata,Macromiidae,,Macromia,6.7,Pr,Predators
CALOHE,102048,Arthropoda,Insecta,Odonata,Calopterygidae,,Hetaerina,6.2,Pr,Predators
CALOCA,102052,Arthropoda,Insecta,Odonata,Calopterygidae,,Calopteryx,8.3,Pr,Predators
LESTLE,102061,Arthropoda,Insecta,Odonata,Lestidae,,Lestes,6,Pr,Predators
COEN,102077,Arthropoda,Insecta,Odonata,Coenagrionidae,,,6.1,Pr,Predators
COENIS,102078,Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,9.4,Pr,Predators
COENEN,102102,Arthropoda,Insecta,Odonata,Coenagrionidae,,Enallagma,9,Pr,Predators
COENAR,102139,Arthropoda,Insecta,Odonata,Coenagrionidae,,Argia,5.1,Pr,Predators
PTERPT,102471,Arthropoda,Insecta,Plecoptera,Pteronarcyidae,,Pteronarcys,1.7,Sh,Shredders
NEMO,102517,Arthropoda,Insecta,Plecoptera,Nemouridae,,,2,Sh,Shredders
NEMO,102517,Arthropoda,Insecta,Plecoptera,Nemouridae,,,2,Sc,Scrapers
NEMOAM,102540,Arthropoda,Insecta,Plecoptera,Nemouridae,,Amphinemura,3.4,Sh,Shredders
NEMOPR,102584,Arthropoda,Insecta,Plecoptera,Nemouridae,,Prostoia,6.1,Sh,Shredders
NEMOPR,102584,Arthropoda,Insecta,Plecoptera,Nemouridae,,Prostoia,6.1,Sc,Scrapers
CAPNAL,102644,Arthropoda,Insecta,Plecoptera,Capniidae,,Allocapnia,2.8,Sh,Shredders
TAEN,102788,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,,2,C,Collectors
TAEN,102788,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,,2,Sh,Shredders
TAENTA,102789,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,Taeniopteryx,2,C,Collectors
TAENTA,102789,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,Taeniopteryx,2,Sh,Shredders
CAPNPA,102804,Arthropoda,Insecta,Plecoptera,Capniidae,,Paracapnia,0.2,Sh,Shredders
TAENST,102808,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,Strophopteryx,2.5,Sh,Shredders
LEUC,102840,Arthropoda,Insecta,Plecoptera,Leuctridae,,,0,Sh,Shredders
LEUCLE,102844,Arthropoda,Insecta,Plecoptera,Leuctridae,,Leuctra,0.7,Sh,Shredders
LEUCZE,102900,Arthropoda,Insecta,Plecoptera,Leuctridae,,Zealeuctra,0,Sh,Shredders
PERL,102914,Arthropoda,Insecta,Plecoptera,Perlidae,,,1,C,Collectors
PERL,102914,Arthropoda,Insecta,Plecoptera,Perlidae,,,1,Pr,Predators
PERLAC,102917,Arthropoda,Insecta,Plecoptera,Perlidae,,Acroneuria,1.5,Pr,Predators
PERLNE,102942,Arthropoda,Insecta,Plecoptera,Perlidae,,Neoperla,1.6,Pr,Predators
PERLPA,102962,Arthropoda,Insecta,Plecoptera,Perlidae,,Paragnetina,1.8,Pr,Predators
PERLAG,102975,Arthropoda,Insecta,Plecoptera,Perlidae,,Agnetina,0,Pr,Predators
PERO,102994,Arthropoda,Insecta,Plecoptera,Perlodidae,,,2,Pr,Predators
PEROIS,102995,Arthropoda,Insecta,Plecoptera,Perlodidae,,Isoperla,3.2,Pr,Predators
PEROIS,102995,Arthropoda,Insecta,Plecoptera,Perlodidae,,Isoperla,3.2,C,Collectors
PEROHE,103084,Arthropoda,Insecta,Plecoptera,Perlodidae,,Helopicus,0.4,Pr,Predators
PEROHY,103106,Arthropoda,Insecta,Plecoptera,Perlodidae,,Hydroperla,2.75,Pr,Predators
PEROCL,103118,Arthropoda,Insecta,Plecoptera,Perlodidae,,Clioperla,4.8,Pr,Predators
CHLO,103202,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,1,C,Collectors
CHLO,103202,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,1,Pr,Predators
CHLOAL,103203,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Alloperla,1.4,Pr,Predators
PERLPR,103244,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlinella,0,Pr,Predators
PERLPE,103251,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlesta,0,Pr,Predators
PERLPE,103251,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlesta,0,C,Collectors
CHLOHA,103260,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Haploperla,1.3,Pr,Predators
CHLOHA,103260,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Haploperla,1.3,C,Collectors
HEMI,103359,Arthropoda,Insecta,Hemiptera,,,,,Pr,Predators
CORI,103364,Arthropoda,Insecta,Hemiptera,Corixidae,,,9,He,Herbivores
CORI,103364,Arthropoda,Insecta,Hemiptera,Corixidae,,,9,Pr,Predators
CORISI,103369,Arthropoda,Insecta,Hemiptera,Corixidae,,Sigara,9,Pr,Predators
CORITR,103423,Arthropoda,Insecta,Hemiptera,Corixidae,,Trichocorixa,5,Pr,Predators
