ParkName,ParkCode,LocationID,PeriodID,EventID,GaugeSiteNo,StreamName,GaugeLocation,Discharge_cms,Comments,Units
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov02,7056000,Buffalo River,Buffalo River near St. Joe. AR,6.28,,meters
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov07,7056000,Buffalo River,Buffalo River near St. Joe. AR,3.54,,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan05,7056515,Bear Creek,Bear Creek near Silver Hill. AR,0.05,cms - Bear Creek USGS gauge,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,BUFFRMINVE2013Nov21,BUFFRMINVE2013Dec04,7056515,Bear Creek,Bear Creek near Silver Hill. AR,0.16,Bear Creek USGS gauge,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,BUFFRMINVE2015Nov23,BUFFRMINVE2015Nov24,7056515,Bear Creek,Bear Creek near Silver Hill. AR,0.12,,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,BUFFRMINVE2017Nov15,BUFFRMINVE2017Nov16,7056515,Bear Creek,Bear Creek near Silver Hill. AR,0.29,,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov05,7056515,Bear Creek,Bear Creek near Silver Hill. AR,0.64,,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov03,7056515,Bear Creek,Bear Creek near Silver Hill. AR,0.3,,meters
Buffalo National River,BUFF,BUFFRMINVEBT20,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov06,7056515,Bear Creek,Bear Creek near Silver Hill. AR,0.79,,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan18,7056700,Buffalo River,Buffalo River near Harriet. AR,24.49,cms - Harriett USGS gauge,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec09,7056700,Buffalo River,Buffalo River near Harriet. AR,14.26,,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2017Nov15,BUFFRMINVE2017Dec08,7056700,Buffalo River,Buffalo River near Harriet. AR,2.01,,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov19,7056700,Buffalo River,Buffalo River near Harriet. AR,30.58,,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov01,7056700,Buffalo River,Buffalo River near Harriet. AR,8.29,,meters
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov08,7056700,Buffalo River,Buffalo River near Harriet. AR,7.7,,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,14111470,Buffalo River,Buffalo River at Pruitt and Big Creek near Mt. Judea AR,12.09,11.92 (Pruitt) + 0.17 (Big Creek),meters
Herbert Hoover National Historic Site,HEHO,HEHOAqubug01,HEHOAqubug2008Jul07,HEHOAqubug2008Jul07,5464942,Hoover Creek ,Hoover Nat Hist Site. West Branch. IA,0.07,Hoover Creek (cms),meters
Herbert Hoover National Historic Site,HEHO,HEHOAqubug01,HEHOAqubug2011Jul11,HEHOAqubug2011Jul11,5464942,Hoover Creek ,Hoover Nat Hist Site. West Branch. IA,0.08,Hoover Creek (cms),meters
Herbert Hoover National Historic Site,HEHO,HEHOAqubug01,HEHOAqubug2014Aug01,HEHOAquBug2014Aug01,5464942,Hoover Creek ,Hoover Nat Hist Site. West Branch. IA,0.01,Hoover Creek (cms),meters
