ParkName,ParkCode,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,StartDate,EndDate,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,13,11.00,14.00,0.48,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,14,9.00,14.00,0.38,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,15,7.00,14.00,0.32,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,16,5.00,10.00,0.25,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,17,3.00,10.00,0.17,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,18,1.00,8.00,0.09,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,1,0.00,10.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,2,1.00,33.00,0.12,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,3,2.00,46.00,0.26,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,4,3.00,50.00,0.32,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,5,4.00,50.00,0.22,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,6,5.00,48.00,0.26,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,7,6.00,45.00,0.21,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,8,7.00,46.00,0.22,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,9,8.00,38.00,0.33,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,10,9.00,34.00,0.26,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,11,10.00,29.00,0.20,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,12,11.00,22.00,0.16,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,13,12.00,19.00,0.08,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,14,13.00,10.00,0.08,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,15,14.00,2.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,1,0.00,1.00,-0.05,tree roots creating on bank eddie
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,2,1.00,10.00,-0.02,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,3,2.00,26.00,0.01,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,4,3.00,44.00,0.03,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,5,4.00,52.00,0.07,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,6,5.00,60.00,0.09,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,7,6.00,62.00,0.13,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,8,7.00,60.00,0.09,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,9,8.00,56.00,0.14,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,10,9.00,50.00,0.11,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,11,10.00,42.00,0.06,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,12,11.00,34.00,0.07,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,13,12.00,30.00,0.07,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,14,13.00,16.00,0.06,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,15,14.00,12.00,0.01,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,16,15.00,2.00,-0.05,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV29,meters,17,16.00,1.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,1,0.00,0.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,2,0.50,3.00,0.08,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,3,1.00,9.00,0.30,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,4,1.50,9.00,0.34,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,5,2.00,12.00,0.49,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,6,2.50,12.00,0.55,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,7,3.00,15.00,0.45,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,8,3.50,12.00,0.56,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,9,4.00,18.00,0.44,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,10,4.50,18.00,0.44,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,11,5.00,18.00,0.35,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,12,5.50,18.00,0.24,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,13,6.00,18.00,0.41,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,14,6.50,21.00,0.46,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,15,7.00,24.00,0.60,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,16,7.50,26.00,0.52,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,17,8.00,24.00,0.39,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,18,8.50,21.00,0.11,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,19,9.00,0.00,0.00,
