ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,SiteNumber,TransectNumber,SampleLocation,ChannelUnit,PoolForm,Width_Meters,Depth_Centimeters,Velocity_MetersPerSecond,Velocity_MetersPerSecond_flag,DominantWentworthSubstrate_Millimeters,WentworthMidpoint_Millimeters,EmbeddedCanopyCover,ECC_MidpointValue1_Percent,CanopyCover,ECC_MidpointValue2_Percent,Comment,dwcType,dwcBasisOfRecord
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,5,3,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,1,1,Middle,Glide,NA,3.3,10,0.31,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,2,1,Middle,Pool,NA,6.6,12,0.1,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,3,1,Middle,Riffle,NA,5.6,16,0.04,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,4,1,Middle,Glide,NA,3.9,17,0.13,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,5,1,Middle,Pool,NA,6.7,42,0.07,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,1,2,Middle,Glide,NA,2.8,12,0.28,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,2,2,Middle,Pool,NA,7.3,18,0.4,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,3,2,Middle,Riffle,NA,5.5,6,0.2,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,4,2,Middle,Glide,NA,2.9,15,0.15,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,5,2,Middle,Pool,NA,6.3,36,0.05,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,1,3,Middle,Glide,NA,3.4,12,0.36,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,2,3,Middle,Pool,NA,6.8,34,0.08,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,3,3,Middle,Riffle,NA,4.8,5,0.28,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,4,3,Middle,Glide,NA,3.1,14,0.24,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,5,3,Middle,Pool,NA,6.1,15,0.16,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,1,1,Middle,Run/Race,NA,5.1,9,0.42,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,2,1,Middle,Run/Race,NA,7.1,16,0.14,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,3,1,Middle,Run/Race,NA,5.9,29,0.17,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,4,1,Middle,Run/Race,NA,3.9,16,0.32,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,5,1,Middle,Run/Race,NA,5.2,12,0.25,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,1,2,Middle,Run/Race,NA,4.7,7,0.26,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,2,2,Middle,Run/Race,NA,6.6,26,0.18,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,3,2,Middle,Run/Race,NA,5.4,18,0.24,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,4,2,Middle,Run/Race,NA,3.6,12,0.24,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,5,2,Middle,Run/Race,NA,4,26,0.27,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,1,3,Middle,Run/Race,NA,4.3,6,0.2,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,2,3,Middle,Run/Race,NA,7.2,36,0.13,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,3,3,Middle,Run/Race,NA,6,20,0.19,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,4,3,Middle,Run/Race,NA,4.9,6,0.26,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,5,3,Middle,Run/Race,NA,4.8,6,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,1,1,Middle,Run/Race,NA,3.4,31,0.25,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,2,1,Middle,Run/Race,NA,4.8,13,0.17,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,3,1,Middle,Run/Race,NA,7.2,28,0.08,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,4,1,Middle,Run/Race,NA,2.6,36,0.12,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,5,1,Middle,Run/Race,NA,4.5,48,0.04,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,1,2,Middle,Run/Race,NA,2.8,21,0.4,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,2,2,Middle,Run/Race,NA,4.8,14,0.22,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,3,2,Middle,Run/Race,NA,4.9,14,0.1,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,4,2,Middle,Run/Race,NA,4.4,11,0.23,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,5,2,Middle,Run/Race,NA,5.1,27,0.08,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,1,3,Middle,Run/Race,NA,3.2,18,0.4,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,2,3,Middle,Run/Race,NA,4.9,11,0.17,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,3,3,Middle,Run/Race,NA,4.6,32,0.13,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,4,3,Middle,Run/Race,NA,3.9,16,0.2,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,5,3,Middle,Run/Race,NA,6.5,30,0.11,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,1,1,Middle,Run/Race,NA,2.9,16,0.12,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,2,1,Middle,Pool,NA,6.9,22,0.06,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,3,1,Middle,Pool,NA,4.3,64,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,4,1,Middle,Pool,NA,5.2,22,0.01,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,5,1,Middle,Pool,NA,5,12,0.06,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,1,2,Middle,Run/Race,NA,2.6,19,0.11,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,2,2,Middle,Pool,NA,7.1,12,0.01,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,3,2,Middle,Pool,NA,3.8,38,0.04,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,4,2,Middle,Pool,NA,5.7,38,0.05,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,5,2,Middle,Pool,NA,5.3,12,0.04,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,1,3,Middle,Run/Race,NA,1.9,16,0.26,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,2,3,Middle,Pool,NA,6.6,32,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,3,3,Middle,Pool,NA,4,12,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,4,3,Middle,Pool,NA,7.1,55,-0.01,R,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,5,3,Middle,Pool,NA,4.8,20,0.04,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,1,1,Middle,Run/Race,NA,5,19,0.17,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,2,1,Middle,Pool,NA,7.7,44,0,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,3,1,Middle,Pool,NA,4.6,60,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,4,1,Middle,Run/Race,NA,5.6,28,0.15,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,5,1,Middle,Pool,NA,4.4,10,0,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,1,2,Middle,Run/Race,NA,4.1,24,0.18,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,2,2,Middle,Pool,NA,7.6,39,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,3,2,Middle,Pool,NA,5.8,78,0.5,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,4,2,Middle,Run/Race,NA,5.4,4,0.21,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,5,2,Middle,Pool,NA,7.2,64,0.01,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,1,3,Middle,Run/Race,NA,3.2,12,0.27,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,2,3,Middle,Pool,NA,5.5,50,0.01,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,3,3,Middle,Pool,NA,4.9,31,0.14,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,4,3,Middle,Run/Race,NA,5.4,10,0.13,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,5,3,Middle,Pool,NA,8.1,62,0.01,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,1,1,Middle,Pool,NA,4.8,26,0.03,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,2,1,Middle,Pool,NA,8.6,54,0.04,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,3,1,Middle,Pool,NA,5.9,36,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,4,1,Middle,Run/Race,NA,4,18,0.04,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,5,1,Middle,Run/Race,NA,5.2,22,0.03,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,1,2,Middle,Pool,NA,6.7,54,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,2,2,Middle,Pool,NA,4.3,50,0,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,3,2,Middle,Pool,NA,5.6,30,0.01,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,4,2,Middle,Run/Race,NA,3.7,16,0.04,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,5,2,Middle,Run/Race,NA,5.6,48,0.02,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,1,3,Middle,Pool,NA,7.3,62,0,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,2,3,Middle,Pool,NA,4.6,14,-0.01,R,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,3,3,Middle,Pool,NA,6.9,18,-0.01,R,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,4,3,Middle,Run/Race,NA,3.6,26,0.01,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,5,3,Middle,Run/Race,NA,5.5,26,0.11,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,1,1,Middle,Pool,NA,2.9,10,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,2,1,Middle,Pool,NA,4.1,25,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,3,1,Middle,Pool,NA,7,53,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,4,1,Middle,Pool,NA,4.4,19,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,1,2,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,2,2,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,3,2,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,4,2,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,1,3,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,2,3,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,3,3,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01upper,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,4,3,Middle,Pool,NA,-999,-999,-999,A,-999,-999,NA,-999,NA,-999,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,1,Left,Riffle,NA,5.7,10,0.02,A,16-22.6,19.3,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,1,Middle,Riffle,NA,5.7,8,0.23,A,11.3-16,13.65,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,1,Right,Riffle,NA,5.7,14,0.2,A,16-22.6,19.3,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,2,Right,Run/Race,NA,3,12,0.01,A,16-22.6,19.3,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,3,Right,Run/Race,NA,6,12,-0.01,R,11.3-16,13.65,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,6,Middle,Glide,NA,4.2,12,0.23,A,22.6-32,27.3,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,6,Right,Glide,NA,4.2,19,0.15,A,22.6-32,27.3,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,10,Right,Pool,Bluff Pool,5.7,20,0,A,11.3-16,13.65,Heavy (40-75%),57.5,Heavy (40-75%),57.5,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2009Jun16,HOSPStfish2009Jun16,main,1,11,Middle,Run/Race,NA,5,8,0.05,A,362-512,437,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2012Jul10,HOSPStfish2012Jul10,main,1,3,Right,Riffle,NA,4.3,10,0.44,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2012Jul10,HOSPStfish2012Jul10,main,1,5,Left,Riffle,NA,5.3,20,0.34,A,180-256,218,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2012Jul10,HOSPStfish2012Jul10,main,1,6,Middle,Run/Race,NA,2.8,18,0.1,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2012Jul10,HOSPStfish2012Jul10,main,1,6,Right,Run/Race,NA,2.8,12,0.07,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2012Jul10,HOSPStfish2012Jul10,main,1,8,Left,Pool,Lateral Pool,5.3,60,0.01,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Hot Springs National Park,HOSP,HOSPStfish01,HOSPStfish2012Jul10,HOSPStfish2012Jul10,main,1,8,Right,Pool,Lateral Pool,5.3,23,0,A,45-64,54.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
