ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,SiteNumber,TransectNumber,SampleLocation,ChannelUnit,PoolForm,Width_Meters,Depth_Centimeters,Velocity_MetersPerSecond,Velocity_MetersPerSecond_flag,DominantWentworthSubstrate_Millimeters,WentworthMidpoint_Millimeters,EmbeddedCanopyCover,ECC_MidpointValue1_Percent,CanopyCover,ECC_MidpointValue2_Percent,Comment,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,main,1,6,Left,Run/Race,NA,39.5,72,0.09,A,8-11.3,9.65,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,main,1,8,Left,Pool,Mid-Channel Pool,34,85,0.01,A,45-64,54.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,main,1,6,Right,Run/Race,NA,39,82,0.05,A,90-128,109,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,main,1,7,Right,Run/Race,NA,36.5,161,0.02,A,362-512,437,Sparse (<10%),5,Sparse (<10%),5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,main,1,9,Left,Run/Race,NA,34,115,0.03,A,256-362,309,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,main,1,6,Left,Run/Race,NA,46,34,0.23,A,90-128,109,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,main,1,7,Right,Run/Race,NA,36.5,158,0.17,A,128-180,154,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,main,1,10,Left,Pool,Lateral Pool,32.5,164,0.11,A,45-64,54.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,main,1,10,Right,Pool,Lateral Pool,32.5,170,0.06,A,64-90,77,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2023May23,BUFFRMFISH2023May24,main,1,7,Right,Pool,Mid-Channel Pool,34,152,0.04,A,128-180,154,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
