ParkName,ParkCode,LocationID,PeriodID,EventID,SiteNumber,Beginning_Ending,TimeSampled_hhmm_mil,WaterTemp_Celcius,AirTemp_Celcius,pH,SpecificConductance_MicrosiemensPerCentimeter,Conductivity_MicrosiemensPerCentimeter,DissolvedOxygen_MilligramsPerLiter,SecchiTube_Centimeters,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2008May19,BUFFRMFish2008May22,1,ENDING,13:20:00,22.8,32,7.65,212.8,148.4,8.21,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,1,BEGINNING,10:21:00,19.5,20,7.6,208.1,186.6,9.03,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,1,ENDING,12:36:00,19.6,19.8,8.02,208.3,186.6,9.53,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,1,BEGINNING,11:54:00,17.5,32,7.31,195.2,178.9,8.88,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,1,ENDING,14:30:00,18.4,34,7.2,-999,-999,8.93,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,1,BEGINNING,12:24:00,23.7,28,8.15,158.9,155,8.31,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,1,ENDING,14:39:00,24.7,33,8.2,157.4,156.6,9.42,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,1,BEGINNING,10:29:00,23.7,28,7.93,213.5,207.9,9.83,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,1,ENDING,13:50:00,25.7,32,8.14,211.9,214.7,9.39,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,1,BEGINNING,10:52:00,21.8,26.5,7.45,201.7,189.4,10.18,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,1,ENDING,13:05:00,23.5,31,7.4,201.5,194.7,10.12,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,1,BEGINNING,10:18:00,19.8,-999,7.54,125,112.5,8.7,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,1,ENDING,16:13:00,23.1,-999,7.89,126.8,122,10.82,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,1,BEGINNING,11:45:00,25.1,16,7.55,159.2,235.6,7.57,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,1,ENDING,15:05:00,26.5,20,7.54,137.2,206.7,9.13,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,1,BEGINNING,12:00:00,21.9,24,6.96,217.9,153.3,8.72,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,1,ENDING,16:00:00,22.6,26,7.29,214.1,149.3,9.45,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2008May19,BUFFRMFish2008Jun03,1,BEGINNING,11:11:00,24,33.5,7.67,156.9,105.3,7.55,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2008May19,BUFFRMFish2008Jun03,1,ENDING,17:00:00,26.3,-999,7.58,96.3,144,8.61,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,1,BEGINNING,12:35:00,22.7,25.5,7.56,214.7,205.3,8.74,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,1,ENDING,16:00:00,22.9,22,7.89,213.6,205,9.39,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,1,BEGINNING,12:22:00,21.7,36.5,6.95,211.4,213.9,11.35,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,1,ENDING,15:17:00,23.2,36,6.74,123.5,129.6,11.85,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2013May20,BUFFRMFish2013Jun19,1,BEGINNING,10:08:00,25.1,25,8.24,191.2,191.5,6.98,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2013May20,BUFFRMFish2013Jun19,1,ENDING,13:36:00,27.6,29,8.23,190.7,199.9,8.32,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFrmfish2015May22,BUFFrmfish2015Jun30,1,BEGINNING,08:54:00,23.1,22.5,8.05,193.4,186.2,8.42,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFrmfish2015May22,BUFFrmfish2015Jun30,1,ENDING,12:35:00,24.4,31.5,8.21,192.8,190.5,9.87,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2017May24,BUFFRMFISH2017Jun02,1,BEGINNING,10:30:00,21.1,22,7.46,198.2,183.5,9.51,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2017May24,BUFFRMFISH2017Jun02,1,ENDING,14:07:00,22.6,-999,7.48,193.7,185,10.9,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2019May22,BUFFRMFISH2019Jun14,1,BEGINNING,10:13:00,19.1,-999,7.74,156.2,138.2,9.71,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2019May22,BUFFRMFISH2019Jun14,1,ENDING,14:02:00,20.1,-999,8.01,156.2,141.4,11.17,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2023May23,BUFFRMFISH2023May25,1,BEGINNING,10:50:00,21.7,-999,8.13,176.7,165.6,9.15,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2023May23,BUFFRMFISH2023May25,1,ENDING,14:12:00,24,-999,8.25,175.5,172,10.34,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN02,1,BEGINNING,10:15:00,23.9,15,7.48,221.3,152,7.98,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN02,1,ENDING,14:55:00,27.3,20,7.65,148.6,226.2,9.91,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2007May21,BUFFRMFish2007May31,1,BEGINNING,10:30:00,21.6,23.5,6.92,215.2,152.4,8.5,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2007May21,BUFFRMFish2007May31,1,ENDING,17:00:00,24.7,35,7.46,225.3,153,10.46,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2008May19,BUFFRMFish2008Jun04,1,BEGINNING,10:15:00,24.5,34,7.47,186.6,127.1,7.7,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2008May19,BUFFRMFish2008Jun04,1,ENDING,15:45:00,27,34,7.24,80.6,122.3,9.24,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2009May19,BUFFRMFish2009Jun08,1,BEGINNING,10:50:00,22.4,32,8.07,156.7,150.3,8.3,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2009May19,BUFFRMFish2009Jun08,1,ENDING,13:37:00,24.2,35,8.21,163.6,161.2,8.85,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2010May17,BUFFRMFish2010Jun03,1,BEGINNING,09:33:00,20.8,28,6.83,191.3,189.1,8.06,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2010May17,BUFFRMFish2010Jun03,1,ENDING,14:15:00,22.8,30,6.1,91.5,93.7,9.59,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2013May20,BUFFRMFish2013Jun17,1,BEGINNING,10:55:00,25.5,28,8.15,171.6,173.2,8.38,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2013May20,BUFFRMFish2013Jun17,1,ENDING,13:09:00,25.7,-999,8.25,168.6,170.8,8.43,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFrmfish2015May22,BUFFrmfish2015Jul01,1,BEGINNING,08:56:00,24.5,26,7.94,193.1,191.4,7.65,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFrmfish2015May22,BUFFrmfish2015Jul01,1,ENDING,11:42:00,24.7,30,8.13,193.5,192.4,9.04,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2017May24,BUFFRMFISH2017Jun15,1,BEGINNING,10:00:00,25,24,7.61,195.5,195.6,8.52,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2017May24,BUFFRMFISH2017Jun15,1,ENDING,12:41:00,26.2,28,7.65,194,198.4,9.77,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2019May22,BUFFRMFISH2019Jun19,1,BEGINNING,09:52:00,23.8,-999,7.73,181.5,177.5,-999,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2019May22,BUFFRMFISH2019Jun19,1,ENDING,14:20:00,26.2,-999,7.91,179.5,183.8,10.56,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2023May23,BUFFRMFISH2023Jun01,1,BEGINNING,09:59:00,23.5,-999,8.17,195.5,189.9,7.88,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2023May23,BUFFRMFISH2023Jun01,1,ENDING,14:52:00,26.8,-999,8.39,192.3,198.9,9.78,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN12,1,BEGINNING,10:30:00,27.3,-999,7.68,165.1,251.2,6.46,120,Event,MachineObservation
