ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,DischargeNo,DistanceFromBank_Meters,Depth_Centimeters,Velocity_MetersPerSecond,Velocity_MetersPerSecond_flag,Comments,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,20,19,8,0,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,1,0,0,0,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,2,1,14,0.03,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,3,2,16,0.04,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,4,3,24,0.04,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,5,4,30,0.08,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,6,5,38,0.15,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,7,6,54,0.12,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,8,7,50,0.19,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,9,8,54,0.21,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,10,9,58,0.23,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,11,10,62,0.2,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,12,11,56,0.17,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,13,12,52,0.19,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,14,13,56,0.18,A,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,15,14,48,0.08,A,NA,Event,HumanObservation
