name	name_type	name_resolved	authority_system	authority_id
Percina evides	scientific	Percina evides	GBIF Backbone Taxonomy	2382105
Percina maculata	scientific	Percina maculata	GBIF Backbone Taxonomy	2382061
Phenacobius mirabilis	scientific	Phenacobius mirabilis	GBIF Backbone Taxonomy	2363799
Pimephales tenellus	scientific	Pimephales tenellus	GBIF Backbone Taxonomy	2367757
Rhinichthys atratulus	scientific	Rhinichthys atratulus	GBIF Backbone Taxonomy	2359823
Rhinichthys cataractae	scientific	Rhinichthys cataractae	GBIF Backbone Taxonomy	2359811
Salmo trutta	scientific	Salmo trutta	GBIF Backbone Taxonomy	8215487
Semotilus atromaculatus	scientific	Semotilus atromaculatus	GBIF Backbone Taxonomy	2360481
Anguilla rostrata	scientific	Anguilla rostrata	GBIF Backbone Taxonomy	5212956
Aphredoderus sayanus	scientific	Aphredoderus sayanus	GBIF Backbone Taxonomy	2401749
Aplodinotus grunniens	scientific	Aplodinotus grunniens	GBIF Backbone Taxonomy	2400265
Carpiodes carpio	scientific	Carpiodes carpio	GBIF Backbone Taxonomy	2358948
Carpiodes cyprinus	scientific	Carpiodes cyprinus	GBIF Backbone Taxonomy	2358950
Culaea inconstans	scientific	Culaea inconstans	GBIF Backbone Taxonomy	2356556
Cyprinus carpio	scientific	Cyprinus carpio	GBIF Backbone Taxonomy	4286975
Cyprinella galactura	scientific	Cyprinella galactura	GBIF Backbone Taxonomy	5207653
Dorosoma cepedianum	scientific	Dorosoma cepedianum	GBIF Backbone Taxonomy	2413541
Esox americanus vermiculatus	scientific	Esox americanus vermiculatus	GBIF Backbone Taxonomy	NA
Esox niger	scientific	Esox niger	GBIF Backbone Taxonomy	2346629
Etheostoma blennioides	scientific	Etheostoma blennioides	GBIF Backbone Taxonomy	2382397
Etheostoma exile	scientific	Etheostoma exile	GBIF Backbone Taxonomy	2382377
Etheostoma zonale	scientific	Etheostoma zonale	GBIF Backbone Taxonomy	2382365
Esox lucius	scientific	Esox lucius	GBIF Backbone Taxonomy	2346633
Fundulus notatus	scientific	Fundulus notatus	GBIF Backbone Taxonomy	5203690
Fundulus olivaceus	scientific	Fundulus olivaceus	GBIF Backbone Taxonomy	5203637
Gambusia affinis	scientific	Gambusia affinis	GBIF Backbone Taxonomy	2350580
Hiodon tergisus	scientific	Hiodon tergisus	GBIF Backbone Taxonomy	2402318
Hybognathus hankinsoni	scientific	Hybognathus hankinsoni	GBIF Backbone Taxonomy	2364394
Ictiobus cyprinellus	scientific	Ictiobus cyprinellus	GBIF Backbone Taxonomy	2359081
Ictalurus punctatus	scientific	Ictalurus punctatus	GBIF Backbone Taxonomy	5202520
Labidesthes sicculus	scientific	Labidesthes sicculus	GBIF Backbone Taxonomy	2412271
Lepomis cyanellus x humilis	scientific	Lepomis cyanellus x humilis	GBIF Backbone Taxonomy	NA
Lepomis miniatus x cyanellus	scientific	Lepomis miniatus x cyanellus	GBIF Backbone Taxonomy	NA
Lepomis cyanellus	scientific	Lepomis cyanellus	GBIF Backbone Taxonomy	2394494
Lepomis gulosus	scientific	Lepomis gulosus	GBIF Backbone Taxonomy	2394507
Lepomis humilis	scientific	Lepomis humilis	GBIF Backbone Taxonomy	2394483
Lepomis miniatus x megalotis	scientific	Lepomis miniatus x megalotis	GBIF Backbone Taxonomy	NA
Lepomis macrochirus	scientific	Lepomis macrochirus	GBIF Backbone Taxonomy	2394503
Lepomis megalotis x cyanellus	scientific	Lepomis megalotis x cyanellus	GBIF Backbone Taxonomy	NA
Lepomis microlophus	scientific	Lepomis microlophus	GBIF Backbone Taxonomy	2394501
Lepomis miniatus	scientific	Lepomis miniatus	GBIF Backbone Taxonomy	2394505
Lepomis macrochirus x cyanellus	scientific	Lepomis macrochirus x cyanellus	GBIF Backbone Taxonomy	NA
Lepomis megalotis x macrochirus	scientific	Lepomis megalotis x macrochirus	GBIF Backbone Taxonomy	NA
Lepisosteus osseus	scientific	Lepisosteus osseus	GBIF Backbone Taxonomy	2346701
Lota lota	scientific	Lota lota	GBIF Backbone Taxonomy	2415460
