ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,TransectNumber,SampleLocation,Season,BankAngle_Degrees,BankVegCover_Percent,BankHeight_Meters,BankSubstrate,LargeTrees_TR,SmTreesShrubs_SH,GrassForbes_GR,BareRockSediment_BA,Artificial_AR,Comment,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,2,Left,2007,>60,20-49,2.1-3,Boulder/cobble,TRUE,TRUE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,2,Right,2007,>60,50-80,>4,Boulder/cobble,TRUE,TRUE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,3,Left,2007,>60,20-49,2.1-3,Boulder/cobble,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,3,Right,2007,31-60,50-80,1.1-2,Silt,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,4,Left,2007,31-60,20-49,1.1-2,Boulder/cobble,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,4,Right,2007,31-60,>80,1.1-2,Silt,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,5,Left,2007,0-30,<20,0-1,Boulder/cobble,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,5,Right,2007,>60,50-80,1.1-2,Silt,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,6,Left,2007,31-60,50-80,1.1-2,Boulder/cobble,TRUE,FALSE,TRUE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,6,Right,2007,>60,50-80,3.1-4,Silt,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,7,Left,2007,0-30,50-80,0-1,Boulder/cobble,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,7,Right,2007,>60,50-80,2.1-3,Boulder/cobble,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,8,Left,2007,31-60,50-80,1.1-2,Silt,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,8,Right,2007,>60,20-49,3.1-4,Boulder/cobble,TRUE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,9,Left,2007,>60,50-80,0-1,Silt,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,9,Right,2007,>60,50-80,3.1-4,Boulder/cobble,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,10,Left,2007,>60,50-80,1.1-2,Silt,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
