Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2013Nov21	2013	11/21/2013 0:00:00	2/19/2014 0:00:00	BUFFRMINVE2014Jan29	1	R	-999.00	30.00	0.57	17.00	2.00	0.00	1.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2015Nov23	2015	11/23/2015 0:00:00	12/18/2015 0:00:00	BUFFRMINVE2015Dec17	1	L	-999.00	34.00	0.31	15.00	3.00	2.00	0.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2015Nov23	2015	11/23/2015 0:00:00	12/18/2015 0:00:00	BUFFRMINVE2015Dec17	1	M	-999.00	40.00	0.30	16.00	2.00	0.00	0.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2015Nov23	2015	11/23/2015 0:00:00	12/18/2015 0:00:00	BUFFRMINVE2015Dec17	1	R	-999.00	44.00	0.44	15.00	2.00	0.00	0.00	2.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2019Nov04	2019	11/4/2019 0:00:00	11/21/2019 0:00:00	BUFFRMINVE2019Nov18	1	L	-999.00	30.00	0.42	16.00	2.00	0.00	1.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2019Nov04	2019	11/4/2019 0:00:00	11/21/2019 0:00:00	BUFFRMINVE2019Nov18	1	M	-999.00	35.00	0.38	16.00	3.00	0.00	0.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2019Nov04	2019	11/4/2019 0:00:00	11/21/2019 0:00:00	BUFFRMINVE2019Nov18	1	R	-999.00	30.00	0.54	17.00	2.00	0.00	1.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2021Nov01	2021	11/1/2021 0:00:00	11/10/2021 0:00:00	BUFFRMINVE2021Nov10	1	L	-999.00	21.00	0.24	16.00	3.00	0.00	0.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2021Nov01	2021	11/1/2021 0:00:00	11/10/2021 0:00:00	BUFFRMINVE2021Nov10	1	M	-999.00	22.00	0.31	16.00	3.00	0.00	0.00	3.00	-999.00	-999.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2021Nov01	2021	11/1/2021 0:00:00	11/10/2021 0:00:00	BUFFRMINVE2021Nov10	1	R	-999.00	24.00	0.33	17.00	3.00	0.00	0.00	3.00	-999.00	-999.00	
