TaxonCode,TSN,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,Description
CORYCO,115033,Arthropoda,Insecta,Megaloptera,Corydalidae,,Corydalus,5.6,Pr,Predators
CORYNI,115028,Arthropoda,Insecta,Megaloptera,Corydalidae,,Nigronia,5.8,Pr,Predators
CRAM,693963,Arthropoda,Insecta,Lepidoptera,Crambidae,,,5,He,Herbivores
CRAM,693963,Arthropoda,Insecta,Lepidoptera,Crambidae,,,5,Sh,Shredders
CRAMPA,117714,Arthropoda,Insecta,Lepidoptera,Crambidae,,Parapoynx,5,He,Herbivores
CRAMPA,117714,Arthropoda,Insecta,Lepidoptera,Crambidae,,Parapoynx,5,Sh,Shredders
CRAMPE,117682,Arthropoda,Insecta,Lepidoptera,Crambidae,,Petrophila,2.7,He,Herbivores
CRAMPE,117682,Arthropoda,Insecta,Lepidoptera,Crambidae,,Petrophila,2.7,Sh,Shredders
CRANBS,-999,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,(Stygobromus/Bactrurus),,C,Collectors
CRANCR,95081,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,Crangonyx,8,C,Collectors
CRANST,93861,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,Stygobromus,,C,Collectors
CULICU,126455,Arthropoda,Insecta,Diptera,Culicidae,,Culex,10,F,Filterers
CYRECO,81385,Mollusca,Bivalvia,Venerida,Cyrenidae,,Corbicula,6.3,F,Filterers
DIXIDE,125854,Arthropoda,Insecta,Diptera,Dixidae,,Dixella,2,C,Collectors
DIXIDI,125810,Arthropoda,Insecta,Diptera,Dixidae,,Dixa,2.8,Pr,Predators
DIXIDI,125810,Arthropoda,Insecta,Diptera,Dixidae,,Dixa,2.8,C,Collectors
DOLI,136824,Arthropoda,Insecta,Diptera,Dolichopodidae,,,4,Pr,Predators
DRYOHE,114006,Arthropoda,Insecta,Coleoptera,Dryopidae,,Helichus,5.4,C,Collectors
DRYOHE,114006,Arthropoda,Insecta,Coleoptera,Dryopidae,,Helichus,5.4,Sh,Shredders
DUGEGI,1037592,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,,Girardia,5.5,C,Collectors
DUGEGI,1037592,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,,Girardia,5.5,Pr,Predators
DYTIA,728216,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Agabini,,Pr,Predators
DYTIAG,111966,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Agabus,5,Pr,Predators
DYTIHG,112200,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Hygrotus,,Pr,Predators
DYTIIO,728239,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Ilybiosoma,,Pr,Predators
ELMI,114093,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,C,Collectors
ELMI,114093,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,Sh,Shredders
ELMI,114093,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,Sc,Scrapers
ELMIAN,114193,Arthropoda,Insecta,Coleoptera,Elmidae,,Ancyronyx,6.4,C,Collectors
ELMIAN,114193,Arthropoda,Insecta,Coleoptera,Elmidae,,Ancyronyx,6.4,Sc,Scrapers
ELMIDU,114126,Arthropoda,Insecta,Coleoptera,Elmidae,,Dubiraphia,6.4,C,Collectors
ELMIMA,114212,Arthropoda,Insecta,Coleoptera,Elmidae,,Macronychus,4.7,C,Collectors
ELMIMI,114146,Arthropoda,Insecta,Coleoptera,Elmidae,,Microcylloepus,2.1,C,Collectors
ELMIOP,114177,Arthropoda,Insecta,Coleoptera,Elmidae,,Optioservus,2.7,C,Collectors
ELMIOP,114177,Arthropoda,Insecta,Coleoptera,Elmidae,,Optioservus,2.7,Sh,Shredders
ELMIST,114095,Arthropoda,Insecta,Coleoptera,Elmidae,,Stenelmis,5.4,C,Collectors
ELMIST,114095,Arthropoda,Insecta,Coleoptera,Elmidae,,Stenelmis,5.4,Sc,Scrapers
EMMEFO,70605,Mollusca,Gastropoda,Littorinimorpha,Emmericiidae,,Fontigens,,Sc,Scrapers
EMPICH,136305,Arthropoda,Insecta,Diptera,Empididae,,Chelifera (Metachela),6,Pr,Predators
EMPICL,135849,Arthropoda,Insecta,Diptera,Empididae,,Clinocera,6,Pr,Predators
EMPIHE,136327,Arthropoda,Insecta,Diptera,Empididae,,Hemerodromia,6,C,Collectors
EMPIHE,136327,Arthropoda,Insecta,Diptera,Empididae,,Hemerodromia,6,Pr,Predators
EMPIOR,136377,Arthropoda,Insecta,Diptera,Empididae,,Oreogeton,,Pr,Predators
EMPITR,135903,Arthropoda,Insecta,Diptera,Empididae,,Trichoclinocera,6,Pr,Predators
ENTO,99643,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,,C,Collectors
EPHE,101232,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,1,C,Collectors
