ParkName,ParkCode,LocationType,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,StartDate,EndDate,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC14,meters,14,27,14,0.38,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC14,meters,15,29,14,0.32,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC14,meters,16,31,10,0.25,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC14,meters,17,33,10,0.17,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC14,meters,18,35,8,0.09,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,1,0,10,0,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,2,1,33,0.12,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,3,2,46,0.26,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,4,3,50,0.32,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,5,4,50,0.22,,
