ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyHeight
Arkansas Post,ARPO32,1,2011-06-07,Hardwood,22.9
Arkansas Post,ARPO32,1,2015-05-19,Hardwood,35
Arkansas Post,ARPO33,1,2015-05-19,Hardwood,4.75
Arkansas Post,ARPO34,1,2015-05-19,Hardwood,8
Arkansas Post,ARPO35,1,2019-05-20,Hardwood,2.5
Arkansas Post,ARPO36,1,2007-06-06,Conifer,20
Arkansas Post,ARPO36,1,2007-06-06,Hardwood,18
Arkansas Post,ARPO36,1,2015-05-19,Hardwood,46
Arkansas Post,ARPO4,1,2007-06-05,Hardwood,4
Arkansas Post,ARPO4,1,2011-06-08,Hardwood,21.7
Arkansas Post,ARPO4,1,2015-05-18,Hardwood,34
Arkansas Post,ARPO4,1,2019-05-21,Hardwood,12
Arkansas Post,ARPO5,1,2007-06-05,Hardwood,14.5
Arkansas Post,ARPO5,1,2011-06-07,Hardwood,11.7
Arkansas Post,ARPO5,1,2015-05-18,Hardwood,27
Arkansas Post,ARPO5,1,2019-05-21,Hardwood,21.5
Arkansas Post,ARPO6,1,2007-06-07,Hardwood,4
Arkansas Post,ARPO6,1,2015-05-19,Hardwood,8
Arkansas Post,ARPO7,1,2007-06-07,Hardwood,18
Arkansas Post,ARPO7,1,2011-06-07,Hardwood,24.8
Arkansas Post,ARPO7,1,2015-05-19,Hardwood,35
Arkansas Post,ARPO7,1,2019-05-20,Hardwood,31
Arkansas Post,ARPO8,1,2015-05-19,Hardwood,6
Arkansas Post,ARPO9,1,2007-06-07,Hardwood,13
Arkansas Post,ARPO9,1,2011-06-07,Hardwood,11.5
Arkansas Post,ARPO9,1,2015-05-19,Hardwood,32
Arkansas Post,ARPO9,1,2019-05-20,Hardwood,25.5
Effigy Mounds,EFMO1,1,2013-05-29,Hardwood,31.5
Effigy Mounds,EFMO1,1,2017-05-24,Hardwood,32
Effigy Mounds,EFMO1,1,2017-05-24,Total,32
Effigy Mounds,EFMO1,1,2022-05-25,Hardwood,28.5
Effigy Mounds,EFMO12,1,2009-06-01,Hardwood,15.3
Effigy Mounds,EFMO12,1,2013-05-31,Hardwood,18
Effigy Mounds,EFMO12,1,2017-05-25,Hardwood,31
Effigy Mounds,EFMO12,1,2017-05-25,Total,31
Effigy Mounds,EFMO12,1,2022-05-26,Hardwood,27.3
Effigy Mounds,EFMO13,1,2009-06-01,Hardwood,8.9
Effigy Mounds,EFMO14,1,2009-05-31,Hardwood,14.5
Effigy Mounds,EFMO15,1,2009-05-29,Hardwood,32.2
Effigy Mounds,EFMO15,1,2017-05-24,Hardwood,3.25
Effigy Mounds,EFMO15,1,2017-05-24,Total,3.25
Effigy Mounds,EFMO15,1,2022-05-24,Hardwood,39.8
Effigy Mounds,EFMO16,1,2009-05-29,Hardwood,28.2
Effigy Mounds,EFMO16,1,2013-05-30,Hardwood,30
Effigy Mounds,EFMO16,1,2017-05-24,Hardwood,31
Effigy Mounds,EFMO16,1,2017-05-24,Total,31
Effigy Mounds,EFMO16,1,2022-05-23,Hardwood,29.8
Effigy Mounds,EFMO17,1,2009-05-29,Hardwood,32.4
Effigy Mounds,EFMO17,1,2013-05-30,Hardwood,28
Effigy Mounds,EFMO17,1,2017-05-24,Hardwood,22
Effigy Mounds,EFMO17,1,2017-05-24,Total,22
Effigy Mounds,EFMO17,1,2022-05-25,Hardwood,28
Effigy Mounds,EFMO18,1,2009-05-31,Hardwood,21.8
Effigy Mounds,EFMO18,1,2013-05-31,Hardwood,26
Effigy Mounds,EFMO18,1,2017-05-24,Hardwood,30
Effigy Mounds,EFMO18,1,2017-05-24,Total,30
Effigy Mounds,EFMO18,1,2022-05-26,Hardwood,31.2
Effigy Mounds,EFMO19,1,2009-05-31,Hardwood,19.9
Effigy Mounds,EFMO19,1,2017-05-24,Hardwood,24
Effigy Mounds,EFMO19,1,2017-05-24,Total,24
Effigy Mounds,EFMO19,1,2022-05-26,Hardwood,24.9
Effigy Mounds,EFMO2,1,2009-05-29,Hardwood,34.6
Effigy Mounds,EFMO2,1,2013-05-29,Hardwood,18
Effigy Mounds,EFMO2,1,2017-05-24,Hardwood,26.5
Effigy Mounds,EFMO2,1,2017-05-24,Total,26.5
Effigy Mounds,EFMO2,1,2022-05-25,Hardwood,29.5
Effigy Mounds,EFMO22,1,2009-05-31,Hardwood,30.5
Effigy Mounds,EFMO22,1,2017-05-24,Hardwood,20
Effigy Mounds,EFMO22,1,2017-05-24,Total,20
Effigy Mounds,EFMO24,1,2009-05-29,Hardwood,21.4
Effigy Mounds,EFMO24,1,2013-05-30,Hardwood,18.5
Effigy Mounds,EFMO24,1,2017-05-24,Hardwood,30.5
Effigy Mounds,EFMO24,1,2017-05-24,Total,30.5
Effigy Mounds,EFMO24,1,2022-05-25,Hardwood,17.3
Effigy Mounds,EFMO25,1,2009-05-29,Hardwood,27.4
Effigy Mounds,EFMO25,1,2013-05-30,Hardwood,23
Effigy Mounds,EFMO25,1,2017-05-24,Hardwood,39.5
Effigy Mounds,EFMO25,1,2017-05-24,Total,39.5
Effigy Mounds,EFMO25,1,2022-05-25,Hardwood,24.5
Effigy Mounds,EFMO26,1,2009-05-31,Hardwood,23.2
Effigy Mounds,EFMO26,1,2013-05-31,Hardwood,22
Effigy Mounds,EFMO26,1,2017-05-24,Hardwood,18
Effigy Mounds,EFMO26,1,2017-05-24,Total,18
Effigy Mounds,EFMO26,1,2022-05-26,Hardwood,30.3
Effigy Mounds,EFMO27,1,2009-05-31,Hardwood,10.1
Effigy Mounds,EFMO27,1,2017-05-24,Hardwood,21
Effigy Mounds,EFMO27,1,2017-05-24,Total,21
Effigy Mounds,EFMO27,1,2022-05-26,Hardwood,22.3
Effigy Mounds,EFMO3,1,2017-05-24,Total,0
Effigy Mounds,EFMO3,1,2022-05-25,Hardwood,18.4
Effigy Mounds,EFMO33,1,2009-05-31,Hardwood,21.4
Effigy Mounds,EFMO33,1,2013-05-31,Hardwood,19.75
Effigy Mounds,EFMO33,1,2017-05-24,Hardwood,9
Effigy Mounds,EFMO33,1,2017-05-24,Total,9
Effigy Mounds,EFMO33,1,2022-05-26,Hardwood,8.1
Effigy Mounds,EFMO34,1,2009-05-31,Hardwood,29.1
Effigy Mounds,EFMO34,1,2017-05-24,Hardwood,33
Effigy Mounds,EFMO34,1,2017-05-24,Total,33
Effigy Mounds,EFMO37,1,2009-05-30,Hardwood,31
Effigy Mounds,EFMO37,1,2017-05-24,Hardwood,36
