TaxonCode,TSN,Taxon,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
CRANST,93861,Stygobromus,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,Stygobromus,,C,Collectors
HYALHY,94025,Hyalella,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,,Hyalella,6.8,C,Collectors
CRANCR,95081,Crangonyx,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,Crangonyx,8,C,Collectors
PODUPO,99240,Podura,Arthropoda,Collembola,Poduromorpha,Poduridae,,Podura,,C,Collectors
ENTO,99643,Entomobryidae,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,,C,Collectors
SMIN,100258,Sminthuridae,Arthropoda,Collembola,Symphypleona,Sminthuridae,,,,C,Collectors
HEPT,100504,Heptageniidae,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,4,F,Filterers
HEPTSE,100507,Stenonema,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,2.3,Sc,Scrapers
HEPTSE,100507,Stenonema,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,2.3,C,Collectors
HEPTRH,100572,Rhithrogena,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Rhithrogena,0,C,Collectors
HEPTHE,100602,Heptagenia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,2.4,Sc,Scrapers
HEPTHE,100602,Heptagenia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,2.4,C,Collectors
HEPTEP,100626,Epeorus,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Epeorus,1.3,C,Collectors
HEPTLE,100676,Leucrocuta,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,1.2,C,Collectors
HEPTLE,100676,Leucrocuta,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,1.2,Sc,Scrapers
HEPTST,100713,Stenacron,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenacron,7.1,C,Collectors
HEPTMC,100744,Macdunnoa,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,5,C,Collectors
HEPTMC,100744,Macdunnoa,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,5,Sc,Scrapers
BAET,100775,Baetidae,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,4,C,Collectors
BAETHE,100794,Heterocloeon,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Heterocloeon,3.6,Sc,Scrapers
BAETBA,100800,Baetis,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Baetis,2.8,C,Collectors
BAETAC,100801,Acentrella,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Acentrella,3.6,C,Collectors
BAETPA,100899,Paracloeodes,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Paracloeodes,8.7,Sc,Scrapers
BAETCA,100903,Callibaetis,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Callibaetis,5.6,C,Collectors
SIPHSI,100953,Siphlonurus,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,,Siphlonurus,2.6,C,Collectors
SIPHSI,100953,Siphlonurus,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,,Siphlonurus,2.6,Sc,Scrapers
AMELAM,100996,Ameletus,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,2.1,Sc,Scrapers
AMELAM,100996,Ameletus,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,2.1,C,Collectors
ISONIS,101041,Isonychia,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,,Isonychia,3.8,F,Filterers
LEPTHA,101122,Habrophlebiodes,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Habrophlebiodes,0,C,Collectors
LEPTHA,101122,Habrophlebiodes,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Habrophlebiodes,0,Sc,Scrapers
LEPTLE,101148,Leptophlebia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Leptophlebia,6.4,C,Collectors
LEPTPA,101187,Paraleptophlebia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,1.2,Sh,Shredders
LEPTPA,101187,Paraleptophlebia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,1.2,C,Collectors
EPHE,101232,Ephemerellidae,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,1,C,Collectors
EPHE,101232,Ephemerellidae,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,1,Sc,Scrapers
EPHEEP,101233,Ephemerella,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Ephemerella,2.9,C,Collectors
EPHEEP,101233,Ephemerella,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Ephemerella,2.9,Sc,Scrapers
EPHEEU,101324,Eurylophella,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Eurylophella,2.1,C,Collectors
