TaxonCode,TSN,Taxon,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
HYDSPO,115551,Potamyia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Potamyia,2.5,F,Filterers
HYDTHY,115641,Hydroptila,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Hydroptila,6.2,He,Herbivores
HYDTHY,115641,Hydroptila,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Hydroptila,6.2,Sc,Scrapers
HYDTOC,115714,Ochrotrichia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ochrotrichia,7.2,C,Collectors
HYDTOC,115714,Ochrotrichia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ochrotrichia,7.2,He,Herbivores
HYDTOX,115779,Oxyethira,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Oxyethira,5.2,He,Herbivores
HYDTOX,115779,Oxyethira,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Oxyethira,5.2,C,Collectors
HYDTST,115817,Stactobiella,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Stactobiella,2.75,Sh,Shredders
HYDTIT,115823,Ithytrichia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ithytrichia,4,Sc,Scrapers
HYDTDI,115826,Dibusa,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Dibusa,2,Sc,Scrapers
HYDTNE,115833,Neotrichia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Neotrichia,3.6,Sc,Scrapers
PHRYAG,115882,Agrypnia,Arthropoda,Insecta,Trichoptera,Phryganeidae,,Agrypnia,4.6,Sh,Shredders
THRENE,116046,Neophylax,Arthropoda,Insecta,Trichoptera,Thremmatidae,,Neophylax,1.6,Sc,Scrapers
LIMNIR,116382,Ironoquia,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Ironoquia,7.3,C,Collectors
LIMNIR,116382,Ironoquia,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Ironoquia,7.3,Sh,Shredders
LIMNPY,116409,Pycnopsyche,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Pycnopsyche,2.5,C,Collectors
LIMNPY,116409,Pycnopsyche,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Pycnopsyche,2.5,Sh,Shredders
MOLAMO,116474,Molanna,Arthropoda,Insecta,Trichoptera,Molannidae,,Molanna,3.9,Sh,Shredders
MOLAMO,116474,Molanna,Arthropoda,Insecta,Trichoptera,Molannidae,,Molanna,3.9,C,Collectors
ODONMA,116514,Marilia,Arthropoda,Insecta,Trichoptera,Odontoceridae,,Marilia,0,Sh,Shredders
LEPCSE,116548,Setodes,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Setodes,0.9,Pr,Predators
LEPCSE,116548,Setodes,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Setodes,0.9,C,Collectors
LEPCTR,116565,Triaenodes,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Triaenodes,4.3,Sh,Shredders
LEPCMY,116598,Mystacides,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Mystacides,3.5,C,Collectors
LEPCOE,116607,Oecetis,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Oecetis,5.7,Pr,Predators
LEPCOE,116607,Oecetis,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Oecetis,5.7,He,Herbivores
LEPCNE,116651,Nectopsyche,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Nectopsyche,4.2,C,Collectors
LEPCNE,116651,Nectopsyche,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Nectopsyche,4.2,Sh,Shredders
LEPCCE,116684,Ceraclea,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Ceraclea,6.4,Sh,Shredders
LEPCCE,116684,Ceraclea,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Ceraclea,6.4,C,Collectors
LEPILE,116794,Lepidostoma,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,,Lepidostoma,1,Sh,Shredders
BRACHBR,116906,Brachycentrus,Arthropoda,Insecta,Trichoptera,Brachycentridae,,Brachycentrus,1.1,F,Filterers
BRACHMI,116958,Micrasema,Arthropoda,Insecta,Trichoptera,Brachycentridae,,Micrasema,0,Sh,Shredders
HELIHE,117016,Helicopsyche,Arthropoda,Insecta,Trichoptera,Helicopsychidae,,Helicopsyche,0,Sc,Scrapers
POLYPO,117044,Polycentropus,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Polycentropus,3.5,C,Collectors
POLYPO,117044,Polycentropus,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Polycentropus,3.5,Pr,Predators
POLYCY,117091,Cyrnellus,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Cyrnellus,7.4,C,Collectors
POLYCY,117091,Cyrnellus,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Cyrnellus,7.4,F,Filterers
POLYNE,117095,Neureclipsis,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Neureclipsis,4.4,F,Filterers
POLYNE,117095,Neureclipsis,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Neureclipsis,4.4,Sh,Shredders
POLYNY,117104,Nyctiophylax,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Nyctiophylax,0.9,F,Filterers
POLYNY,117104,Nyctiophylax,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Nyctiophylax,0.9,Pr,Predators
POLYNY,117104,Nyctiophylax,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Nyctiophylax,0.9,Sh,Shredders
GLOSAG,117121,Agapetus,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Agapetus,0,Sc,Scrapers
GLOSAG,117121,Agapetus,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Agapetus,0,C,Collectors
GLOSGL,117159,Glossosoma,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Glossosoma,1.5,Sc,Scrapers
GLOSGL,117159,Glossosoma,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Glossosoma,1.5,C,Collectors
CRAMPE,117682,Petrophila,Arthropoda,Insecta,Lepidoptera,Crambidae,,Petrophila,2.7,He,Herbivores
CRAMPE,117682,Petrophila,Arthropoda,Insecta,Lepidoptera,Crambidae,,Petrophila,2.7,Sh,Shredders
CRAMPA,117714,Parapoynx,Arthropoda,Insecta,Lepidoptera,Crambidae,,Parapoynx,5,He,Herbivores
CRAMPA,117714,Parapoynx,Arthropoda,Insecta,Lepidoptera,Crambidae,,Parapoynx,5,Sh,Shredders
TIPU,118840,Tipulidae,Arthropoda,Insecta,Diptera,Tipulidae,,,3,C,Collectors
TIPUTI,119037,Tipula,Arthropoda,Insecta,Diptera,Tipulidae,,Tipula,7.7,Sh,Shredders
TIPUTI,119037,Tipula,Arthropoda,Insecta,Diptera,Tipulidae,,Tipula,7.7,C,Collectors
LIMOAN,119656,Antocha,Arthropoda,Insecta,Diptera,Limoniidae,,Antocha,4.6,C,Collectors
LIMOHE,120094,Hexatoma,Arthropoda,Insecta,Diptera,Limoniidae,,Hexatoma,4.7,Pr,Predators
LIMOLM,120164,Limnophila,Arthropoda,Insecta,Diptera,Limoniidae,,Limnophila,3,Pr,Predators
LIMOPS,120365,Pseudolimnophila,Arthropoda,Insecta,Diptera,Limoniidae,,Pseudolimnophila,7.3,C,Collectors
LIMOCR,120488,Cryptolabis,Arthropoda,Insecta,Diptera,Limoniidae,,Cryptolabis,,Sh,Shredders
LIMOCR,120488,Cryptolabis,Arthropoda,Insecta,Diptera,Limoniidae,,Cryptolabis,,C,Collectors
LIMOMO,120758,Molophilus,Arthropoda,Insecta,Diptera,Limoniidae,,Molophilus,4,Sh,Shredders
PEDIDI,121027,Dicranota,Arthropoda,Insecta,Diptera,Pediciidae,,Dicranota,0,Pr,Predators
DIXIDI,125810,Dixa,Arthropoda,Insecta,Diptera,Dixidae,,Dixa,2.8,Pr,Predators
DIXIDI,125810,Dixa,Arthropoda,Insecta,Diptera,Dixidae,,Dixa,2.8,C,Collectors
DIXIDE,125854,Dixella,Arthropoda,Insecta,Diptera,Dixidae,,Dixella,2,C,Collectors
CULICU,126455,Culex,Arthropoda,Insecta,Diptera,Culicidae,,Culex,10,F,Filterers
SIMUPR,126703,Prosimulium,Arthropoda,Insecta,Diptera,Simuliidae,,Prosimulium,2.9,F,Filterers
SIMUSI,126774,Simulium,Arthropoda,Insecta,Diptera,Simuliidae,,Simulium,4.4,F,Filterers
CERAFO,127112,Forcipomyiinae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,,6,C,Collectors
CERAAT,127113,Atrichopogon,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,Atrichopogon,6.8,C,Collectors
CERADA,127278,Dasyhelea,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Dasyhelea,6,Sc,Scrapers
CERADA,127278,Dasyhelea,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Dasyhelea,6,C,Collectors
CERA,127338,Ceratopogoninae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,,6,Sc,Scrapers
CERA,127338,Ceratopogoninae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,,6,C,Collectors
CERA,127338,Ceratopogoninae,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,,6,Pr,Predators
STRACA,130409,Caloparyphus,Arthropoda,Insecta,Diptera,Stratiomyidae,,Caloparyphus,8,C,Collectors
STRAMY,130473,Myxosargus,Arthropoda,Insecta,Diptera,Stratiomyidae,,Myxosargus,8,C,Collectors
STRANE,130694,Nemotelus,Arthropoda,Insecta,Diptera,Stratiomyidae,,Nemotelus,7.3,C,Collectors
ATHEAT,130929,Atherix,Arthropoda,Insecta,Diptera,Athericidae,,Atherix,2.1,Pr,Predators
TABA,130934,Tabanidae,Arthropoda,Insecta,Diptera,Tabanidae,,,6,C,Collectors
TABCHR,131078,Chrysops,Arthropoda,Insecta,Diptera,Tabanidae,,Chrysops,7.3,Pr,Predators
TABCHL,131250,Chlorotabanus,Arthropoda,Insecta,Diptera,Tabanidae,,Chlorotabanus,,Pr,Predators
TABAHY,131321,Hybomitra,Arthropoda,Insecta,Diptera,Tabanidae,,Hybomitra,,Pr,Predators
TABATA,131527,Tabanus,Arthropoda,Insecta,Diptera,Tabanidae,,Tabanus (Atylotus),9.7,Pr,Predators
EMPICL,135849,Clinocera,Arthropoda,Insecta,Diptera,Empididae,,Clinocera,6,Pr,Predators
EMPITR,135903,Trichoclinocera,Arthropoda,Insecta,Diptera,Empididae,,Trichoclinocera,6,Pr,Predators
EMPICH,136305,Chelifera ,Arthropoda,Insecta,Diptera,Empididae,,Chelifera (Metachela),6,Pr,Predators
EMPIHE,136327,Hemerodromia,Arthropoda,Insecta,Diptera,Empididae,,Hemerodromia,6,C,Collectors
EMPIHE,136327,Hemerodromia,Arthropoda,Insecta,Diptera,Empididae,,Hemerodromia,6,Pr,Predators
EMPIOR,136377,Oreogeton,Arthropoda,Insecta,Diptera,Empididae,,Oreogeton,,Pr,Predators
DOLI,136824,Dolichopodidae,Arthropoda,Insecta,Diptera,Dolichopodidae,,,4,Pr,Predators
EPHY,146893,Ephydridae,Arthropoda,Insecta,Diptera,Ephydridae,,,6,Sh,Shredders
EPHY,146893,Ephydridae,Arthropoda,Insecta,Diptera,Ephydridae,,,6,C,Collectors
MUSC,150025,Muscidae,Arthropoda,Insecta,Diptera,Muscidae,,,6,Pr,Predators
MUSCLI,150730,Limnophora,Arthropoda,Insecta,Diptera,Muscidae,,Limnophora,7,Pr,Predators
BAETPR,206622,Procloeon,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Procloeon,7.7,C,Collectors
BAETAP,568546,Acerpenna,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Acerpenna,3.7,C,Collectors
BAETFA,568551,Fallceon,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Fallceon,6,Pr,Predators
BAETLA,568552,Labiobaetis,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Labiobaetis,4.4,Pr,Predators
BAETPL,568553,Plauditus,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Plauditus,4,C,Collectors
POTAAN,568559,Anthopotamus,Arthropoda,Insecta,Ephemeroptera,Potamanthidae,,Anthopotamus,1.6,C,Collectors
POLYPL,568776,Plectrocnemia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Plectrocnemia,,Pr,Predators
POLYPL,568776,Plectrocnemia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Plectrocnemia,,Sh,Shredders
POLYPL,568776,Plectrocnemia,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Plectrocnemia,,C,Collectors
TRIDEL,650541,Ellipes,Arthropoda,Insecta,Orthoptera,Tridactylidae,,Ellipes,,C,Collectors
CRAM,693963,Crambidae,Arthropoda,Insecta,Lepidoptera,Crambidae,,,5,He,Herbivores
CRAM,693963,Crambidae,Arthropoda,Insecta,Lepidoptera,Crambidae,,,5,Sh,Shredders
GERRAQ,717547,Aquarius,Arthropoda,Insecta,Hemiptera,Gerridae,,Aquarius,6.4,Pr,Predators
DYTIA,728216,Agabini,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Agabini,,Pr,Predators
DYTIIO,728239,Ilybiosoma,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Ilybiosoma,,Pr,Predators
EPHETE,776926,Teloganopsis,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Teloganopsis,2.7,C,Collectors
BAETIS,776928,Iswaeon,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Iswaeon,,C,Collectors
DUGEGI,1037592,Girardia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,,Girardia,5.5,C,Collectors
DUGEGI,1037592,Girardia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,,Girardia,5.5,Pr,Predators
CAMBFA,1133539,Faxonius,Arthropoda,Malacostraca,Decapoda,Cambaridae,,Faxonius,2.7,C,Collectors
