ParkName,ParkCode,Season,LocationID,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,DETimeStamp
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,9,17,16,0.31,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,10,19,12,0.35,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,11,21,12,0.28,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,12,23,14,0.31,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,13,25,14,0.48,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,14,27,14,0.38,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,15,29,14,0.32,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,16,31,10,0.25,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,17,33,10,0.17,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,18,35,8,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,2,1,6,0.02,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,3,2,28,0.2,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,4,3,22,0.28,big boulder moved to left,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,1,0,1,-0.05,tree roots creating on bank eddie,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,2,1,10,-0.02,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,3,2,26,0.01,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,4,3,44,0.03,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,5,4,52,0.07,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,6,5,60,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,7,6,62,0.13,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,8,7,60,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,9,8,56,0.14,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,10,9,50,0.11,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,11,10,42,0.06,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,12,11,34,0.07,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,13,12,30,0.07,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,14,13,16,0.06,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,15,14,12,0.01,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,16,15,2,-0.05,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,17,16,1,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,2,0.5,3,0.08,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,3,1,9,0.3,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,4,1.5,9,0.34,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,5,2,12,0.49,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,6,2.5,12,0.55,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,7,3,15,0.45,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,8,3.5,12,0.56,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,9,4,18,0.44,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,10,4.5,18,0.44,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,11,5,18,0.35,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,12,5.5,18,0.24,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,5,4,26,0.32,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,6,5,48,0.59,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,7,6,40,0.61,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,8,7,50,0.55,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,9,8,46,0.45,big boulder moved to left,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,10,9,51,0.51,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,11,10,52,0.53,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,12,11,52,0.63,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,13,12,61,0.52,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,14,13,49,0.63,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,15,14,50,0.48,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,16,15,68,0.59,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,17,16,76,0.63,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,18,17,52,0.38,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,19,18,40,0.43,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,20,19,38,0.21,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,21,20,23,0.03,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,2,2.7,38,0.37,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,3,5.4,68,0.82,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,4,8.1,90,0.77,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,5,10.8,82,0.9,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,6,13.5,55,0.69,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,7,16.2,28,0.69,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,8,18.9,20,0.55,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,9,21.6,22,0.42,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,10,24.3,4,0.24,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM02,BUFFRMINVE2007JAN09,meters,11,27,5,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,2,4,74,0.81,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,3,8,62,1.3,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,4,12,52,1.32,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,5,16,46,1.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,6,20,40,1.52,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,7,24,60,1.28,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,8,28,42,1.92,,10/5/2020 11:46
