ParkName,ParkCode,Season,LocationID,EventID,Units,GaugeSiteNo,GaugeLocation,Discharge_cms,Comments,DETimeStamp
Buffalo National River,BUFF,2021,BUFFRMINVEBM01,BUFFRMINVE2021Nov10,meters,7055646,"Buffalo River near Boxley, AR",0.46,,3/6/2023 8:20
Buffalo National River,BUFF,2021,BUFFRMINVEBM02,BUFFRMINVE2021Nov09,meters,7055680,"Buffalo River at Pruitt, AR",0.85,,3/6/2023 14:24
Buffalo National River,BUFF,2021,BUFFRMINVEBM03,BUFFRMINVE2021Nov08,meters,7055680,"Buffalo River at Pruitt, AR",0.94,Pruitt guage only; Big Cr guage no longer collecting data,3/7/2023 7:33
Buffalo National River,BUFF,2021,BUFFRMINVEBM04,BUFFRMINVE2021Nov03,meters,7056000,"Buffalo River near St. Joe, AR",5.77,,3/7/2023 8:14
Buffalo National River,BUFF,2021,BUFFRMINVEBM05,BUFFRMINVE2021Nov02,meters,7056000,"Buffalo River near St. Joe, AR",6.28,,3/7/2023 9:19
Buffalo National River,BUFF,2021,BUFFRMINVEBM06,BUFFRMINVE2021Nov01,meters,7056700,"Buffalo River near Harriet, AR",8.29,,3/7/2023 9:25
Buffalo National River,BUFF,2021,BUFFRMINVEBT20,BUFFRMINVE2021Nov03,meters,7056515,"Bear Creek near Silver Hill, AR",0.3,,3/7/2023 13:05
Buffalo National River,BUFF,2023,BUFFRMINVEBM01,BUFFRMINVE2023Nov14,meters,7055646,"Buffalo River near Boxley, AR",0.22,,3/8/2024 8:21
Buffalo National River,BUFF,2023,BUFFRMINVEBM02,BUFFRMINVE2023Nov02,meters,7055680,"Buffalo River at Pruitt, AR",1.15,,3/8/2024 10:02
Buffalo National River,BUFF,2023,BUFFRMINVEBM03,BUFFRMINVE2023Nov02,meters,7055680,"Buffalo River at Pruitt, AR",1.08,,3/8/2024 11:14
Buffalo National River,BUFF,2023,BUFFRMINVEBM04,BUFFRMINVE2023Nov03,meters,7056000,"Buffalo River near St. Joe, AR",7.87,,3/8/2024 12:36
Buffalo National River,BUFF,2023,BUFFRMINVEBM05,BUFFRMINVE2023Nov07,meters,7056000,"Buffalo River near St. Joe, AR",3.54,,3/28/2024 12:18
Buffalo National River,BUFF,2023,BUFFRMINVEBM06,BUFFRMINVE2023Nov08,meters,7056700,"Buffalo River near Harriet, AR",7.7,,3/28/2024 14:09
Buffalo National River,BUFF,2023,BUFFRMINVEBT20,BUFFRMINVE2023Nov06,meters,7056515,"Bear Creek near Silver Hill, AR",0.79,,3/11/2024 9:33
Herbert Hoover National Historic Site,HEHO,2008,HEHOAqubug01,HEHOAqubug2008Jul07,meters,5464942,"Hoover Nat Hist Site, West Branch, IA",0.07,Hoover Creek (cms),10/8/2020 15:29
Herbert Hoover National Historic Site,HEHO,2011,HEHOAqubug01,HEHOAqubug2011Jul11,meters,5464942,"Hoover Nat Hist Site, West Branch, IA",0.08,Hoover Creek (cms),10/8/2020 15:29
Herbert Hoover National Historic Site,HEHO,2014,HEHOAqubug01,HEHOAquBug2014Aug01,meters,5464942,"Hoover Nat Hist Site, West Branch, IA",0.01,Hoover Creek (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2005,OZARRMINVECM04,OZARRMINVE2006JAN24,meters,7067000,"Current River at Van Buren, MO ",28.03,cms,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2005,OZARRMINVECM05,OZARRMINVE2006JAN18,meters,7067000,"Current River at Van Buren, MO ",33.7,cms,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2005,OZARRMINVECM06,OZARRMINVE2006JAN20,meters,7067500,"Big Spring near Van Buren, MO",26.96,cms - BS only,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2006,OZARRMINVECM04,OZARRMINVE2006NOV14,meters,7067000,"Current River at Van Buren, MO ",45.31,cms,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2006,OZARRMINVECM05,OZARRMINVE2006DEC19,meters,7067000,"Current River at Van Buren, MO ",43.04,cms,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2006,OZARRMINVECM06,OZARRMINVE2006DEC18,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",54.17,cms - VB + Big Spring,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2007,OZARRMINVECM04,OZARRMINVE2007Nov05,meters,7067000,"Current River at Van Buren, MO ",20.73,Van Buren Gage,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2007,OZARRMINVECM05,OZARRMINVE2007Nov02,meters,7067000,"Current River at Van Buren, MO ",20.98,Van Buren Gage,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2007,OZARRMINVECM06,OZARRMINVE2007Nov01,meters,7067000,"Current River at Van Buren, MO ",21.18,Van Buren Gage,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2008,OZARRMINVECM04,OZARRMINVE2008Nov20,meters,7067000,"Current River at Van Buren, MO ",25.32,VanBuren Gage=25.32,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2008,OZARRMINVECM05,OZARRMINVE2008Nov21,meters,7067000,"Current River at Van Buren, MO ",25.03,VanBuren Gage=25.03,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2008,OZARRMINVECM06,OZARRMINVE2008Nov05,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",35.94,VB=25.94 BS=9.99,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2009,OZARRMINVECM02,OZARRMINVE2009Dec02,meters,7064533,"Current River above Akers, MO ",20,m3/sec; extrapolated based on Akers gage and acutal discharge in 2008,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2009,OZARRMINVECM03,OZARRMINVE2009Nov12,meters,7064533,"Current River above Akers, MO ",22.22,Extrapolated; based on akers gage and actual discharge in 2008.,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2009,OZARRMINVECM04,OZARRMINVE2009Dec03,meters,7067000,"Current River at Van Buren, MO ",45.59,m3/sec; Van Buren gage,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2009,OZARRMINVECM05,OZARRMINVE2009Dec03,meters,7067000,"Current River at Van Buren, MO ",45.59,m3/sec; Van Buren Gage,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2009,OZARRMINVECM06,OZARRMINVE2009Dec02,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",64.02,m3/sec; Van Buren+Big Spring,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVECM01,OZARRMINVE2012Nov13,meters,7064440,"Current River at Montauk State Park, MO ",2.29,Montauk,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVECM02,OZARRMINVE2012Nov28,meters,7064533,"Current River above Akers, MO ",4.81,Akers,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVECM03,OZARRMINVE2012Nov28,meters,7064533,"Current River above Akers, MO ",4.81,Akers,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVECM04,OZARRMINVE2012Nov27,meters,7067000,"Current River at Van Buren, MO ",22.62,Van Buren,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVECM05,OZARRMINVE2012Nov27,meters,7067000,"Current River at Van Buren, MO ",22.62,Van Buren,10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVECM06,OZARRMINVE2012Nov29,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",30.7,Van Buren (22.09) + Big Spring (8.61),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVEJM01,OZARRMINVE2012Dec04,meters,7065200,"Jacks Fork near Mountain View, MO ",0.96,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVEJM02,OZARRMINVE2012Dec04,meters,7065200,"Jacks Fork near Mountain View, MO ",0.96,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2012,OZARRMINVEJM03,OZARRMINVE2012Dec05,meters,7065200,"Jacks Fork near Mountain View, MO ",1.08,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVECM01,OZARRMINVE2014Nov13,meters,7064440,"Current River at Montauk State Park, MO ",1.4,Montauk (cms),10/8/2020 15:29
