ParkName,ParkCode,LocationID,PeriodID,EventID,SiteNumber,Beginning_Ending,TimeSampled_hhmm_mil,WaterTemp_C,AirTemp_C,pH,SpecificConductance_microScm,Conductivity_microScm,DissolvedOxygen_mgL,SecchiTube,Units
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,BEGINNING,12/30/1899 10:00:00,16.50,16.00,7.17,93.50,71.00,8.32,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,ENDING,12/30/1899 14:30:00,19.70,20.00,6.95,100.20,73.00,9.86,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,BEGINNING,12/30/1899 9:50:00,16.50,21.00,8.13,77.10,58.50,9.67,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,ENDING,12/30/1899 15:30:00,19.10,26.00,7.78,78.70,58.00,9.64,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,BEGINNING,12/30/1899 10:09:00,16.60,22.50,7.70,92.40,69.40,6.48,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,ENDING,12/30/1899 13:10:00,18.30,24.50,7.66,84.40,62.70,8.74,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,BEGINNING,12/30/1899 9:29:00,16.70,23.00,7.52,93.00,78.30,8.34,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,ENDING,12/30/1899 14:00:00,18.70,27.00,7.66,77.70,68.60,9.50,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,1,BEGINNING,12/30/1899 9:13:00,13.60,20.00,5.72,68.70,58.40,11.49,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,1,ENDING,12/30/1899 11:27:00,14.50,25.00,7.58,68.00,59.20,12.42,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2013May20,BUFFRMFish2013May29,1,BEGINNING,12/30/1899 9:29:00,17.20,22.50,8.48,97.00,81.40,8.07,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2013May20,BUFFRMFish2013May29,1,ENDING,12/30/1899 12:00:00,17.90,25.00,8.07,85.30,73.70,9.10,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,1,BEGINNING,12/30/1899 10:04:00,17.70,27.00,7.53,77.10,66.40,9.38,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,1,ENDING,12/30/1899 13:04:00,19.90,33.00,7.63,78.20,70.60,10.40,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,1,BEGINNING,12/30/1899 10:05:00,17.30,24.00,7.56,95.10,79.50,10.77,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,1,ENDING,12/30/1899 12:28:00,18.80,27.50,6.81,89.90,79.20,9.23,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,1,BEGINNING,12/30/1899 9:21:00,16.90,22.22,7.22,63.40,53.60,9.12,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,1,ENDING,12/30/1899 12:29:00,18.80,-999.00,7.48,64.00,56.40,9.94,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2023May23,BUFFRMFISH2023May24,1,BEGINNING,12/30/1899 9:32:00,16.80,-999.00,7.48,74.10,62.50,8.65,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2023May23,BUFFRMFISH2023May24,1,ENDING,12/30/1899 14:30:00,19.20,-999.00,7.78,76.90,68.40,9.84,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,1,BEGINNING,12/30/1899 13:15:00,25.90,24.00,7.08,162.00,242.30,7.72,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,1,ENDING,12/30/1899 15:15:00,27.30,20.00,7.26,163.00,247.80,7.04,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,1,BEGINNING,12/30/1899 12:05:00,20.80,28.00,7.21,173.10,123.90,9.92,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,1,ENDING,12/30/1899 16:10:00,22.10,29.00,7.14,177.30,124.60,10.48,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2008May19,BUFFRMFish2008May22,1,BEGINNING,12/30/1899 11:30:00,20.90,30.00,7.71,216.40,154.50,7.77,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2008May19,BUFFRMFish2008May22,1,ENDING,12/30/1899 13:20:00,22.80,32.00,7.65,212.80,148.40,8.21,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,1,BEGINNING,12/30/1899 10:21:00,19.50,20.00,7.60,208.10,186.60,9.03,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,1,ENDING,12/30/1899 12:36:00,19.60,19.80,8.02,208.30,186.60,9.53,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,1,BEGINNING,12/30/1899 11:54:00,17.50,32.00,7.31,195.20,178.90,8.88,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,1,ENDING,12/30/1899 14:30:00,18.40,34.00,7.20,-999.00,-999.00,8.93,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,1,BEGINNING,12/30/1899 12:24:00,23.70,28.00,8.15,158.90,155.00,8.31,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,1,ENDING,12/30/1899 14:39:00,24.70,33.00,8.20,157.40,156.60,9.42,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,1,BEGINNING,12/30/1899 10:29:00,23.70,28.00,7.93,213.50,207.90,9.83,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,1,ENDING,12/30/1899 13:50:00,25.70,32.00,8.14,211.90,214.70,9.39,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,1,BEGINNING,12/30/1899 10:52:00,21.80,26.50,7.45,201.70,189.40,10.18,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,1,ENDING,12/30/1899 13:05:00,23.50,31.00,7.40,201.50,194.70,10.12,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,1,BEGINNING,12/30/1899 10:18:00,19.80,-999.00,7.54,125.00,112.50,8.70,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,1,ENDING,12/30/1899 16:13:00,23.10,-999.00,7.89,126.80,122.00,10.82,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,1,BEGINNING,12/30/1899 11:45:00,25.10,16.00,7.55,159.20,235.60,7.57,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN01,1,Ending,12/30/1899 15:05:00,26.50,20.00,7.54,137.20,206.70,9.13,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,1,BEGINNING,12/30/1899 12:00:00,21.90,24.00,6.96,217.90,153.30,8.72,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2007May21,BUFFRMFish2007May30,1,ENDING,12/30/1899 16:00:00,22.60,26.00,7.29,214.10,149.30,9.45,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2008May19,BUFFRMFish2008Jun03,1,BEGINNING,12/30/1899 11:11:00,24.00,33.50,7.67,156.90,105.30,7.55,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2008May19,BUFFRMFish2008Jun03,1,ENDING,12/30/1899 17:00:00,26.30,-999.00,7.58,96.30,144.00,8.61,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,1,BEGINNING,12/30/1899 12:35:00,22.70,25.50,7.56,214.70,205.30,8.74,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2009May19,BUFFRMFish2009Jun03,1,ENDING,12/30/1899 16:00:00,22.90,22.00,7.89,213.60,205.00,9.39,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,1,BEGINNING,12/30/1899 12:22:00,21.70,36.50,6.95,211.40,213.90,11.35,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2010May17,BUFFRMFish2010Jun01,1,ENDING,12/30/1899 15:17:00,23.20,36.00,6.74,123.50,129.60,11.85,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2013May20,BUFFRMFish2013Jun19,1,BEGINNING,12/30/1899 10:08:00,25.10,25.00,8.24,191.20,191.50,6.98,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2013May20,BUFFRMFish2013Jun19,1,ENDING,12/30/1899 13:36:00,27.60,29.00,8.23,190.70,199.90,8.32,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFrmfish2015May22,BUFFrmfish2015Jun30,1,BEGINNING,12/30/1899 8:54:00,23.10,22.50,8.05,193.40,186.20,8.42,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFrmfish2015May22,BUFFrmfish2015Jun30,1,ENDING,12/30/1899 12:35:00,24.40,31.50,8.21,192.80,190.50,9.87,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2017May24,BUFFRMFISH2017Jun02,1,BEGINNING,12/30/1899 10:30:00,21.10,22.00,7.46,198.20,183.50,9.51,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2017May24,BUFFRMFISH2017Jun02,1,ENDING,12/30/1899 14:07:00,22.60,-999.00,7.48,193.70,185.00,10.90,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2019May22,BUFFRMFISH2019Jun14,1,BEGINNING,12/30/1899 10:13:00,19.10,-999.00,7.74,156.20,138.20,9.71,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2019May22,BUFFRMFISH2019Jun14,1,ENDING,12/30/1899 14:02:00,20.10,-999.00,8.01,156.20,141.40,11.17,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2023May23,BUFFRMFISH2023May25,1,BEGINNING,12/30/1899 10:50:00,21.70,-999.00,8.13,176.70,165.60,9.15,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM03,BUFFRMFISH2023May23,BUFFRMFISH2023May25,1,ENDING,12/30/1899 14:12:00,24.00,-999.00,8.25,175.50,172.00,10.34,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN02,1,BEGINNING,12/30/1899 10:15:00,23.90,15.00,7.48,221.30,152.00,7.98,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN02,1,ENDING,12/30/1899 14:55:00,27.30,20.00,7.65,148.60,226.20,9.91,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2007May21,BUFFRMFish2007May31,1,BEGINNING,12/30/1899 10:30:00,21.60,23.50,6.92,215.20,152.40,8.50,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2007May21,BUFFRMFish2007May31,1,ENDING,12/30/1899 17:00:00,24.70,35.00,7.46,225.30,153.00,10.46,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2008May19,BUFFRMFish2008Jun04,1,BEGINNING,12/30/1899 10:15:00,24.50,34.00,7.47,186.60,127.10,7.70,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2008May19,BUFFRMFish2008Jun04,1,ENDING,12/30/1899 15:45:00,27.00,34.00,7.24,80.60,122.30,9.24,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2009May19,BUFFRMFish2009Jun08,1,BEGINNING,12/30/1899 10:50:00,22.40,32.00,8.07,156.70,150.30,8.30,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2009May19,BUFFRMFish2009Jun08,1,ENDING,12/30/1899 13:37:00,24.20,35.00,8.21,163.60,161.20,8.85,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2010May17,BUFFRMFish2010Jun03,1,BEGINNING,12/30/1899 9:33:00,20.80,28.00,6.83,191.30,189.10,8.06,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2010May17,BUFFRMFish2010Jun03,1,ENDING,12/30/1899 14:15:00,22.80,30.00,6.10,91.50,93.70,9.59,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2013May20,BUFFRMFish2013Jun17,1,BEGINNING,12/30/1899 10:55:00,25.50,28.00,8.15,171.60,173.20,8.38,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2013May20,BUFFRMFish2013Jun17,1,ENDING,12/30/1899 13:09:00,25.70,-999.00,8.25,168.60,170.80,8.43,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFrmfish2015May22,BUFFrmfish2015Jul01,1,BEGINNING,12/30/1899 8:56:00,24.50,26.00,7.94,193.10,191.40,7.65,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFrmfish2015May22,BUFFrmfish2015Jul01,1,ENDING,12/30/1899 11:42:00,24.70,30.00,8.13,193.50,192.40,9.04,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2017May24,BUFFRMFISH2017Jun15,1,BEGINNING,12/30/1899 10:00:00,25.00,24.00,7.61,195.50,195.60,8.52,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2017May24,BUFFRMFISH2017Jun15,1,ENDING,12/30/1899 12:41:00,26.20,28.00,7.65,194.00,198.40,9.77,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2019May22,BUFFRMFISH2019Jun19,1,BEGINNING,12/30/1899 9:52:00,23.80,-999.00,7.73,181.50,177.50,-999.00,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2019May22,BUFFRMFISH2019Jun19,1,ENDING,12/30/1899 14:20:00,26.20,-999.00,7.91,179.50,183.80,10.56,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2023May23,BUFFRMFISH2023Jun01,1,BEGINNING,12/30/1899 9:59:00,23.50,-999.00,8.17,195.50,189.90,7.88,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM04,BUFFRMFISH2023May23,BUFFRMFISH2023Jun01,1,ENDING,12/30/1899 14:52:00,26.80,-999.00,8.39,192.30,198.90,9.78,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN12,1,BEGINNING,12/30/1899 10:30:00,27.30,-999.00,7.68,165.10,251.20,6.46,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN12,1,ENDING,12/30/1899 15:00:00,28.10,-999.00,7.68,120.30,184.80,7.73,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2007May21,BUFFRMFish2007Jun20,1,BEGINNING,12/30/1899 11:15:00,27.70,30.50,7.25,161.50,246.60,9.58,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2007May21,BUFFRMFish2007Jun20,1,ENDING,12/30/1899 16:20:00,28.80,29.50,8.06,150.10,232.70,10.03,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2008May19,BUFFRMFish2008Jun05,1,BEGINNING,12/30/1899 11:00:00,25.40,29.00,7.29,137.20,203.20,8.39,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2008May19,BUFFRMFish2008Jun05,1,ENDING,12/30/1899 12:40:00,25.60,31.50,7.21,73.10,108.80,7.51,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2009May19,BUFFRMFish2009Jun09,1,BEGINNING,12/30/1899 10:47:00,23.50,33.00,7.59,206.70,200.30,8.86,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2009May19,BUFFRMFish2009Jun09,1,ENDING,12/30/1899 13:50:00,24.60,33.00,8.12,201.60,200.40,9.80,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2010May17,BUFFRMFish2010Jun02,1,BEGINNING,12/30/1899 10:50:00,21.00,33.00,7.19,197.40,196.50,8.45,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2010May17,BUFFRMFish2010Jun02,1,ENDING,12/30/1899 13:25:00,22.00,32.00,8.05,195.00,197.10,9.69,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2013May20,BUFFRMFish2013Jun18,1,BEGINNING,12/30/1899 11:54:00,26.10,23.00,7.98,189.30,193.20,8.40,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2013May20,BUFFRMFish2013Jun18,1,ENDING,12/30/1899 14:07:00,27.10,-999.00,8.21,187.90,195.30,9.43,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2017May24,BUFFRMFISH2017Jun14,1,BEGINNING,12/30/1899 10:50:00,24.90,29.50,7.38,212.10,211.50,8.89,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2017May24,BUFFRMFISH2017Jun14,1,ENDING,12/30/1899 13:04:00,25.70,29.00,7.42,210.40,213.00,9.75,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2019May22,BUFFRMFISH2019Jun18,1,BEGINNING,12/30/1899 10:47:00,22.50,-999.00,7.74,201.40,191.50,8.60,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2019May22,BUFFRMFISH2019Jun18,1,ENDING,12/30/1899 12:48:00,23.30,-999.00,8.01,199.80,193.30,10.14,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2023May23,BUFFRMFISH2023Jun07,1,BEGINNING,12/30/1899 11:44:00,25.20,-999.00,8.14,241.90,242.90,8.62,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2023May23,BUFFRMFISH2023Jun07,1,ENDING,12/30/1899 14:36:00,27.30,-999.00,8.25,239.90,250.20,9.38,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN05,1,BEGINNING,12/30/1899 11:30:00,26.10,17.00,7.91,165.10,247.40,7.54,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN05,1,ENDING,12/30/1899 17:00:00,28.20,-999.00,7.72,80.20,124.80,8.87,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2007May21,BUFFRMFish2007Jun04,1,BEGINNING,12/30/1899 14:00:00,26.50,30.00,7.39,178.40,269.00,9.57,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2007May21,BUFFRMFish2007Jun04,1,ENDING,12/30/1899 17:00:00,27.20,29.00,7.95,168.00,255.20,9.44,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2008May19,BUFFRMFish2008Jun18,1,BEGINNING,12/30/1899 15:30:00,28.50,32.00,7.35,152.40,234.40,8.28,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2008May19,BUFFRMFish2008Jun18,1,ENDING,12/30/1899 19:00:00,26.90,23.00,7.33,146.80,222.60,8.10,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2009May19,BUFFRMFish2009Jun10,1,BEGINNING,12/30/1899 11:15:00,25.60,29.00,7.94,217.30,220.20,7.33,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2009May19,BUFFRMFish2009Jun10,1,ENDING,12/30/1899 14:41:00,27.20,32.50,8.08,100.00,200.00,8.90,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2010May17,BUFFRMFish2010Jun09,1,BEGINNING,12/30/1899 11:06:00,24.20,28.00,5.81,178.10,190.00,7.03,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2010May17,BUFFRMFish2010Jun09,1,ENDING,12/30/1899 15:11:00,26.50,32.00,8.07,242.60,267.90,8.02,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2013May20,BUFFRMFish2013Jun11,1,BEGINNING,12/30/1899 11:32:00,25.80,-999.00,8.27,179.50,182.40,6.51,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2013May20,BUFFRMFish2013Jun11,1,ENDING,12/30/1899 14:53:00,27.70,36.50,8.36,178.70,188.00,8.86,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2017May24,BUFFRMFISH2017Jun21,1,BEGINNING,12/30/1899 11:16:00,27.30,29.00,7.23,236.70,246.70,8.23,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2017May24,BUFFRMFISH2017Jun21,1,ENDING,12/30/1899 13:33:00,28.40,30.00,7.53,233.80,249.30,8.97,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2019May22,BUFFRMFISH2019Jun20,1,BEGINNING,12/30/1899 11:46:00,26.70,-999.00,8.30,214.60,221.40,-999.00,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2019May22,BUFFRMFISH2019Jun20,1,ENDING,12/30/1899 15:43:00,28.40,-999.00,8.05,216.00,229.10,11.07,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2023May23,BUFFRMFISH2023Jun14,1,BEGINNING,12/30/1899 13:23:00,26.30,-999.00,8.38,236.60,242.50,8.40,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2023May23,BUFFRMFISH2023Jun14,1,ENDING,12/30/1899 16:32:00,28.40,-999.00,8.43,233.20,248.30,9.29,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT01,BUFFRMFISH2009May19,BUFFRMFish2009May19,1,BEGINNING,12/30/1899 9:33:00,13.20,18.00,6.98,112.60,87.20,9.43,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT01,BUFFRMFISH2009May19,BUFFRMFish2009May19,1,ENDING,12/30/1899 10:30:00,13.50,23.00,7.41,126.00,99.10,9.53,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY22,1,BEGINNING,12/30/1899 9:58:00,15.80,15.00,7.54,151.10,116.00,7.73,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY22,1,ENDING,12/30/1899 11:46:00,16.60,19.00,7.04,100.60,75.00,8.59,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT04,BUFFRMFISH2008May19,BUFFRMFish2008May21,1,BEGINNING,12/30/1899 13:00:00,17.40,24.00,7.68,184.30,138.10,9.26,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT04,BUFFRMFISH2008May19,BUFFRMFish2008May21,1,ENDING,12/30/1899 14:50:00,19.30,25.00,7.47,167.80,122.40,8.52,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2007May21,BUFFRMFish2007May21,1,BEGINNING,12/30/1899 13:20:00,16.10,26.00,7.56,208.00,160.00,11.89,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2007May21,BUFFRMFish2007May21,1,ENDING,12/30/1899 15:15:00,17.30,27.00,7.32,202.20,151.90,11.52,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFrmfish2015May22,BUFFrmfish2015Jun03,1,BEGINNING,12/30/1899 11:54:00,18.30,28.00,8.10,180.60,157.10,10.03,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFrmfish2015May22,BUFFrmfish2015Jun03,1,ENDING,12/30/1899 13:53:00,19.70,31.00,8.22,179.70,160.90,10.48,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2019May22,BUFFRMFISH2019Jun05,1,BEGINNING,12/30/1899 10:45:00,21.00,-999.00,7.70,220.00,203.10,8.56,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2019May22,BUFFRMFISH2019Jun05,1,ENDING,12/30/1899 12:27:00,22.00,-999.00,7.88,219.40,206.70,9.37,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2023May23,BUFFRMFISH2023Jun02,1,BEGINNING,12/30/1899 8:52:00,19.50,-999.00,8.07,234.40,209.90,8.37,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBT05,BUFFRMFISH2023May23,BUFFRMFISH2023Jun02,1,ENDING,12/30/1899 10:28:00,20.90,-999.00,8.00,233.60,215.30,9.54,-999.00,metric
