DaubenmireCoverCode,DaubenmireCoverDescr,DaubenmireCoverMidpoint
-999,no data,-999.00
0,none,0.00
1,trace,0.50
2,1-5%,3.50
3,5-25%,15.00
4,25-50%,37.50
5,50-75%,62.50
6,75-95%,85.00
7,95-100%,97.50
